stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,22.03,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,52,0,0,0,0,0,1,1,0,1,31,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,2.46,0,0,0,0,0,0,4.1,0,0,1.64,265.14,0,3.28,0,0,0,0,0,0,0.82,77.98,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,8.06,0,0,0.81,7.25,0,0,0,0,0,0.81,5.64,0.81,0,0.81,905.57,0.81,11.28,0,0,0,0,0,0,0,181.28,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,73.45,0,0.57,0,6.89,0,0,0,0.57,0,0,11.48,0,0.57,1.72,1118.92,0,5.74,1.15,0,0.57,0.57,0,0,0,167.55,0,0,0.57,0,1.15
 60-70,0,0,0,0,4.91,0.98,242.44,0,0.98,0,24.54,0,0.98,0,0,0,0,16.69,0,0.98,1.96,2191.74,0,3.93,0,0,0.98,0,0,0,0,226.73,0,0,0,0,1.96
 72-82,0,0,0.98,0,5.89,0,268.98,0,0,0,31.41,0,0,0,0,0,0,13.74,0,0.98,2.94,1466.6,0,4.91,0,0,0,0,0,0,0,85.4,0,0.98,0,0,0.98
 84-94,0,0,0,0,10.62,1.06,176.3,0,1.06,3.19,27.61,0,1.06,0,1.06,1.06,0,12.74,0,0,1.06,715.81,0,3.19,1.06,0,0,0,0,0,0,47.79,0,2.12,0,1.06,0
 96-106,0,0,0,0,9.84,5.46,114.75,0,0,1.09,19.67,0,0,0,1.09,0,2.19,9.84,0,0,3.28,589.04,0,6.56,0,0,0,0,0,0,0,22.95,2.19,0,1.09,0,0
108-118,0,0,0,0,5.36,0.77,89.62,1.53,0,0.77,17.62,0,0,1.53,0,0,0.77,6.89,0,0,1.53,562.22,0,5.36,1.53,0,1.53,0,0,0,0,13.02,0.77,0,0.77,0.77,0
120,0,0,0,0,17.64,0,84.27,0,0,0,23.52,1.96,1.96,0,1.96,0,0,5.88,0,0,0,621.25,1.96,1.96,0,0,3.92,0,0,0,0,15.68,1.96,0,0,0,0
