stage,blastomeres,endocrine_pancreas,endoderm,eye,glial,gut,hatching_gland,liver,melanocytes,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,5.26,7.89,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,1.64,1.64,0,0,0,2.46
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0.81,1.61
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,1.06,0,1.06,0,6.37,0,1.06,1.06,1.06,0,1.06,0,0,0
 96-106,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0.77,0.77,0.77,1.53,0,0,0,0
120,0,0,0,0,0,5.88,0,0,0,1.96,1.96,0,0,0,0
