stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,18.4,0,0,0,147.21,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,273.39,2.63,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,15.73,0,0,0,516.1,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,1073.12,18.88,0,0,78.67,0,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,8,0,30,1,0,89,0,0,0,106,0,0,3,0,1,0,0,0,11,0,0,2,1539,5,8,4,13,0,0,0,15,3,3,18,413,0,0,0,0,0
 24-34,0,0,8.21,4.93,16.42,0,0,85.37,0,1.64,0.82,126.41,2.46,0,6.57,0.82,0,0,3.28,0,32.83,0,0,22.16,4600.08,2.46,17.24,6.57,0,0.82,7.39,0,0,9.03,0.82,5.75,666.54,0,0,7.39,0,0.82
 36-46,0,0,2.42,0.81,6.45,0,0,98.29,0,0.81,0,248.15,0,0.81,1.61,0.81,0.81,0,1.61,0.81,46.73,0,1.61,25.78,4911.36,1.61,15.31,4.03,0,0,6.45,0,0,3.22,1.61,0.81,790.36,0,0,0.81,0,1.61
 48-58,0,0,2.87,2.3,6.31,0,0,176.16,1.72,1.72,1.15,340.27,5.16,0,1.72,0,0.57,0.57,2.3,0,103.28,0.57,1.15,32.13,2827.14,0.57,10.33,1.15,0,1.72,4.02,0,0,1.15,0.57,0,593.89,0,0,0.57,0,4.02
 60-70,0,0,2.94,0.98,5.89,0,0,355.31,0,0,0.98,258.14,5.89,0,0.98,0,0,0,3.93,0,158.03,0,3.93,10.8,2038.62,0,9.82,0,0,0.98,0.98,0,0,5.89,0,0,308.2,0,0,0,0,0.98
 72-82,0,0,13.74,0.98,14.72,0.98,0.98,607.65,0.98,0,2.94,269.96,13.74,0.98,0.98,3.93,0,1.96,6.87,0,215.97,0,5.89,16.69,1646.25,0,6.87,0,0,0,1.96,0,0,6.87,0.98,0,159.03,0,4.91,4.91,0,0.98
 84-94,0,0,2.12,0,18.05,1.06,0,396.14,1.06,2.12,0,146.56,7.43,0,0,6.37,0,2.12,3.19,0,125.32,0,1.06,13.81,882.55,0,6.37,0,0,1.06,5.31,0,0,5.31,0,0,111.51,1.06,1.06,4.25,3.19,0
 96-106,0,0,4.37,0,16.39,2.19,1.09,345.34,1.09,2.19,2.19,148.63,4.37,0,1.09,2.19,0,0,7.65,0,92.89,2.19,2.19,4.37,761.71,0,14.21,3.28,0,1.09,6.56,1.09,0,6.56,0,0,52.46,1.09,2.19,1.09,2.19,0
108-118,0,0,3.83,0,13.02,6.13,7.66,254.3,0.77,0.77,0.77,130.21,0.77,0,0,6.13,0,1.53,10.72,0,100.34,0,0.77,8.43,795.84,0,5.36,3.06,0,0.77,1.53,0,0,7.66,0.77,0,30.64,0,2.3,0.77,0.77,0
120,0,0,3.92,0,13.72,7.84,3.92,231.25,1.96,3.92,0,146.98,5.88,0,0,1.96,0,0,7.84,0,96.03,0,3.92,11.76,756.48,3.92,5.88,1.96,0,0,3.92,0,0,7.84,1.96,0,23.52,0,0,1.96,1.96,0
