stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,6.29,0,0,40.91,0,0,0,0,9.44,0,0,0,0,0,0,0,0,3.15,229.73,6.29,0,0,103.85,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,12,1,6,0,0,2,3,0,1,0,0,1,0,2,20,0,26,60,13,0,1,1,0,1,2,13,0,1,36,34,0,0,2,0,1
 24-34,0,0,0,0,9.03,0.82,20.52,0,2.46,4.1,0,0,1.64,0.82,0.82,1.64,0,18.88,40.22,0.82,46.79,40.22,18.06,0.82,0,0,0,0,0,0,0,0,9.03,24.63,0,0,7.39,0,7.39
 36-46,0,0,0,0,1.61,0,9.67,0,5.64,4.03,0,0,1.61,2.42,0,3.22,0.81,30.62,107.96,0,42.7,58.01,8.86,0,0,0,0,0,0,0,0,0,0,33.84,0,0,6.45,0,4.83
 48-58,0,0,0,0,0.57,0,6.31,0,5.16,3.44,0.57,0,1.72,4.59,0,1.15,0.57,25.25,61.4,0.57,12.05,42.46,2.3,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,6.89
 60-70,0,0,0,0,2.94,0,5.89,0,3.93,23.56,0,0,0,8.83,0,0,0.98,14.72,103.06,0.98,20.61,69.69,0.98,0.98,0,0,0,0.98,0,0,0,0,0,17.67,0,0.98,0.98,0,3.93
 72-82,0,0,0,0,2.94,0.98,11.78,0,7.85,47.12,0,0,0.98,17.67,0,0,0,8.83,81.48,0.98,17.67,43.19,0.98,0,0,0,0,0.98,0,0,0,0,0,5.89,0,3.93,1.96,3.93,2.94
 84-94,0,0,1.06,0,0,1.06,10.62,1.06,3.19,42.48,0,0,0,22.3,0,5.31,0,20.18,63.72,2.12,18.05,32.92,2.12,0,0,0,0,1.06,0,0,1.06,0,0,3.19,0,0,1.06,3.19,6.37
 96-106,0,0,1.09,0,1.09,2.19,16.39,0,6.56,57.92,0,0,1.09,17.49,0,1.09,0,9.84,77.59,2.19,14.21,39.34,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,1.09,1.09,2.19,3.28,3.28
108-118,0,0,0,0,0.77,2.3,9.19,0,1.53,54.38,0,0,0,19.92,0,9.96,0.77,18.38,60.51,0.77,12.26,49.79,2.3,0,0,0,0.77,0.77,0,0,0,0,0,5.36,0,0,2.3,0,5.36
120,0,0,0,0,0,0,5.88,0,3.92,23.52,0,0,0,27.44,0,3.92,1.96,13.72,48.99,0,9.8,52.91,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,1.96,3.92
