stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,3.15,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,6,0,6,0,0,0,2,0,1,1,0,0,0,0,0,21,0,0,9,197,117,0,5,1,0,0,2,0,3,76,0,0,3,0,0
 24-34,0,0,0.82,2.46,0.82,0,4.93,0,0.82,0,4.1,0,0,0,0,0,0,0,0,85.37,0,0,14.78,219.17,88.65,0.82,18.06,0,0,0,0,0,0,71.41,0,0,13.13,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,3.22,3.22,0,0,0,0,0,0,0.81,0,264.26,0,0,26.59,88.62,113.6,0,23.36,0,0.81,0.81,0,0,0,17.72,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,19.51,0,0.57,5.16,5.16,0,0.57,0,1.15,0,0.57,0,0,472.24,0,2.3,44.18,40.74,83.78,0,23.53,0,0.57,1.15,0,0,0,8.61,0,1.72,4.02,0,0
 60-70,0,0,0,0.98,0,0,17.67,0,0,13.74,8.83,0,0,1.96,0,0.98,0,1.96,0.98,856.87,0,5.89,46.13,31.41,53.98,0,27.48,0,1.96,1.96,0,0,0,1.96,0,12.76,2.94,5.89,0
 72-82,0,0,0,1.96,0,0,27.49,1.96,0,29.45,14.72,0,0,1.96,0.98,0,0,1.96,0,947.3,0.98,13.74,59.88,64.79,47.12,0,53.99,0,7.85,0,0,0.98,0,3.93,0,13.74,10.8,23.56,0
 84-94,0,0,0,7.43,0,0,58.41,1.06,0,13.81,15.93,0,0,1.06,4.25,0,0,2.12,0,741.3,1.06,19.12,26.55,25.49,59.47,0,64.78,0,3.19,1.06,0,0,0,4.25,0,14.87,7.43,20.18,0
 96-106,0,0,0,3.28,0,1.09,19.67,0,0,16.39,8.74,1.09,0,2.19,2.19,0,0,0,0,520.2,1.09,5.46,17.49,36.06,34.97,0,54.64,0,6.56,0,0,0,0,4.37,0,9.84,8.74,24.04,1.09
108-118,0,0,0,1.53,0.77,0,20.68,0,0.77,12.26,12.26,0.77,0,1.53,1.53,0,0,1.53,0,360,1.53,6.89,21.45,20.68,35.23,0,58.98,0,5.36,0,0,0,0,1.53,0,3.83,6.13,8.43,0
120,0,0,0,3.92,0,0,17.64,0,0,9.8,5.88,0,0,1.96,3.92,0,0,1.96,0,262.61,0,1.96,19.6,11.76,29.4,0,41.16,0,1.96,0,0,0,0,1.96,1.96,3.92,1.96,15.68,0
