stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,13.95,0,0,0,0.82,0,0,2.46,0,0,0,0,0
 36-46,0,2.42,0,0,5.64,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,18.53,0.81,1.61,0,3.22,0,0,7.25,0,0,2.42,0,0
 48-58,0,0,0,0,3.44,0,0,0,2.3,0,0,0,0,0,0,4.02,0,0,0.57,15.49,0,0,0.57,1.72,0,0,2.87,0,0,1.15,0,0
 60-70,0,0.98,0,0,8.83,0.98,0,0,1.96,1.96,0,0,0,0,0,6.87,0.98,0,0,27.48,0.98,0,0.98,3.93,0,0,4.91,0,0,0,0,0.98
 72-82,0,2.94,3.93,0,15.71,0,0,0.98,2.94,0.98,0,0,0,0,0,13.74,0.98,0.98,1.96,22.58,0.98,0.98,0.98,1.96,0,0,3.93,0.98,0.98,1.96,0.98,0
 84-94,0,4.25,1.06,1.06,3.19,0,0,1.06,5.31,0,0,0,0,0,1.06,6.37,0,1.06,0,10.62,0,1.06,1.06,4.25,0,0,0,0,0,0,0,0
 96-106,0,3.28,2.19,0,3.28,0,0,0,2.19,1.09,0,1.09,0,1.09,0,4.37,0,0,1.09,17.49,0,0,0,2.19,0,1.09,2.19,0,0,2.19,0,1.09
108-118,0,0.77,3.06,1.53,5.36,0,0.77,0,1.53,0,0,0,0.77,0,0,8.43,0,0,1.53,13.79,0.77,0,1.53,3.83,0,0,0.77,0.77,0,0,0.77,0
120,0,1.96,1.96,1.96,5.88,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,0,0,15.68,0,0,0,3.92,0,0,0,1.96,0,0,0,0
