stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,18.4,7.89,0,15.77,0,0,73.6,0,0,0,0,36.8,0,0,0,0,0,0,565.17,15.77,0,0,223.44,7.89,2.63,0,0,0,0,0,0
 10-12,0,50.35,0,47.2,0,3.15,97.56,0,0,0,0,28.32,0,0,0,3.15,0,0,1438.16,40.91,0,0,286.37,3.15,0,6.29,37.76,3.15,0,0,0
 14-21,0,0,0,0,5,1,11,0,0,1,11,0,0,0,0,0,2,1,1063,16,0,0,1,0,0,2,0,0,26,0,0
 24-34,0,0,0.82,0,3.28,0,17.24,0,0,8.21,0.82,0,0,0,0,0,0.82,0.82,243.79,3.28,0,0,0,0,0,0,0.82,1.64,9.03,0,0
 36-46,0,0,0,0,1.61,0,20.95,0,0,27.39,0,0,0,0,0,0,0.81,0,102.32,0,0,0,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,0.57,0,28.69,0,0.57,18.36,0,0,0,0.57,0,0,2.87,0.57,51.64,0,0.57,0.57,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0.98,0,0,0,22.58,0.98,0.98,24.54,0,0,0,0,0,0,8.83,0.98,59.87,0,0,0,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,0,2.94,0,32.39,0,0.98,30.43,1.96,0,0,0,0,0,21.6,0,85.4,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.19,0,3.19,0,29.74,0,3.19,19.12,2.12,0,0,1.06,1.06,0,15.93,0,32.92,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,4.37,0,37.16,0,4.37,27.32,0,0,0,0,0,0,17.49,0,34.97,0,0,1.09,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,1.53,0,6.89,0,29.87,0,3.06,22.21,0,0,0.77,0,0,0,23.74,0,25.28,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.84,0,27.44,0,1.96,21.56,1.96,0,0,0,0,0,15.68,0,29.4,0,0,1.96,0,0,0,0,0,0,0,0,0
