stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,5,1,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,2,1,1,9,0,0
 24-34,1.64,0,0,0,0,4.93,0,0,0,0,0,0,20.52,0,0,0.82,0,0,0,0,1.64,0,10.67,0,0
 36-46,1.61,0,4.03,0,0,4.03,0,0,0,0,0,0,24.98,0.81,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,1.15,0.57,10.33,0,0.57,1.72,0,0,0,0.57,0,0,6.89,0,0,1.15,0,0,0,0,0.57,0,2.87,0,0
 60-70,3.93,0,20.61,0,0.98,0,2.94,0.98,0,3.93,0,0,15.7,0,0.98,0.98,0,0,0,0,0.98,0,1.96,0.98,0
 72-82,4.91,0,21.6,0,0,5.89,2.94,0,0,2.94,0,1.96,31.41,0,0,2.94,0,0.98,0,0,0,0,0,0.98,0.98
 84-94,5.31,1.06,8.5,1.06,0,1.06,2.12,0,0,0,0,0,12.74,0,1.06,3.19,0,1.06,3.19,0,0,0,1.06,1.06,1.06
 96-106,5.46,0,21.86,0,0,2.19,6.56,0,2.19,2.19,0,1.09,21.86,0,0,5.46,0,1.09,1.09,0,1.09,0,1.09,1.09,1.09
108-118,4.6,1.53,11.49,2.3,0,1.53,6.13,0,0.77,0,0.77,0,11.49,0,0,3.83,0,3.83,2.3,0,0.77,0,1.53,0.77,0.77
120,5.88,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,3.92
