stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,1,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,38.58,0,0.82,0,7.39,0,0,0.82,0,0,0,0
 36-46,0.81,0.81,0.81,0,0,0,25.78,0,0,0,2.42,0.81,5.64,0,0,0,0,0
 48-58,2.3,0.57,0,0.57,0,0,10.9,0,0,0.57,1.15,0,0.57,0,0,0.57,0,0
 60-70,1.96,0,0,0.98,0,0,10.8,0,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,8.83,0,0,0.98,0,1.96,15.71,0.98,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,10.62,1.06,0,2.12,0,2.12,14.87,0,0,0,2.12,0,1.06,0,0,0,7.43,0
 96-106,18.58,1.09,0,1.09,1.09,4.37,7.65,0,0,1.09,2.19,0,1.09,0,1.09,0,4.37,0
108-118,14.55,1.53,0,0,0.77,5.36,8.43,0,0,0,0.77,0,0.77,0,0,0,6.13,0
120,9.8,0,0,0,0,5.88,7.84,3.92,0,0,0,1.96,0,0,3.92,0,1.96,1.96
