stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,7,25,0,89,0,0,1,112,13,0,63,85,0,0,0,0,0
 24-34,0,0,0,37.76,4.1,4.1,0,11.49,30.37,9.85,0,0,0,0,0,0,12.31,0,0,65.67,31.19,41.86,0,0,0,0,0,1.64,9.85,5.75,201.93,199.47,0,0,4.93,0,0
 36-46,0,0,0.81,4.03,0,2.42,3.22,12.89,60.43,15.31,0,0.81,0,0,0,0,22.56,0,0,78.15,24.98,14.5,0,0,0,1.61,0,0,2.42,12.89,1.61,157.91,0,0,2.42,0,0.81
 48-58,0,0,0,0,0,8.61,4.59,9.75,61.4,15.49,0,0.57,0,0,0.57,1.72,36.72,0,0,43.04,29.26,9.75,0,0,0,0,0,0,1.15,5.16,0,177.88,0,0,1.15,0,2.3
 60-70,0,0,0,0,0,8.83,3.93,5.89,47.11,8.83,0,0,0,0,0,1.96,31.41,0,0,32.39,17.67,1.96,0,0,0,0,0,0,3.93,2.94,0,135.45,0,0,1.96,0,2.94
 72-82,0,0,0,1.96,0,8.83,1.96,1.96,75.59,43.19,0,0.98,0.98,0,0,0.98,44.17,0,0,36.32,25.52,9.82,0,0,0,0,0,0,0.98,1.96,0,125.65,0,0,0.98,0,0.98
 84-94,0,0,0,4.25,1.06,15.93,1.06,4.25,46.73,26.55,0,0,1.06,1.06,0,1.06,44.61,0,0,31.86,21.24,7.43,1.06,0,1.06,3.19,0,0,6.37,2.12,0,90.27,0,0,1.06,2.12,2.12
 96-106,0,0,1.09,4.37,0,7.65,1.09,2.19,52.46,14.21,0,1.09,0,0,0,3.28,22.95,0,1.09,17.49,21.86,8.74,1.09,0,0,0,0,0,3.28,4.37,0,40.44,0,1.09,2.19,0,2.19
108-118,0.77,0,0,1.53,0,7.66,2.3,1.53,46.72,13.79,0.77,0,0,0,0.77,1.53,35.23,0.77,0,18.38,20.68,10.72,0,0,0,0,0,0,4.6,0,0,33.7,0.77,0,0.77,0,2.3
120,0,0,0,1.96,0,11.76,0,1.96,35.28,7.84,0,0,0,1.96,0,0,37.24,0,0,9.8,13.72,5.88,0,0,0,0,0,0,1.96,1.96,0,23.52,0,0,0,0,1.96
