stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,177.76,0,0,0,0,0,0,0,0,12.26,6.13,0,6.13,0,0,0
  7-9,2.63,7.89,2.63,0,21.03,0,5.26,0,0,0,113.03,2.63,23.66,2.63,0,0,0
 10-12,0,3.15,6.29,0,12.59,0,6.29,0,0,0,37.76,0,28.32,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,1.15,0,1.72,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0
120,0,0,0,1.96,3.92,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
