stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,1,2,0,0,0,0,1,0,0,0,2,0,0,10,1,0,1,0,0,3,0,2,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,18.06,0,0,0,0,1.64,0,0,0,1.64,0.82
 36-46,0,0.81,0,0.81,0,0.81,0,0,0.81,0,0,0,0,9.67,0,0,0,0,0.81,0,0,0,0.81,0
 48-58,0.57,1.72,0,0,0,1.15,0,0,0,0,1.72,1.15,1.15,2.3,0,0,0,0.57,0.57,0,0,0,0.57,0.57
 60-70,2.94,5.89,0.98,0,0.98,1.96,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,2.94,0,0,0,0,0,0,0,0,2.94,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,3.28,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0.77,0,0,0.77,0,0.77,0.77,1.53,0,0.77,0,0.77,0.77,0,0,0,0,0
120,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
