stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,48.09,0,0,0,0,10.8,0,0,1.96,1.96,1.96,0,0,0,3.93,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,4.91,0,0.98,0,0,110.93,0,0,0.98,3.93,128.6,0,0,1.96,0.98,6.87,0,0,0,29.45,0,0,0.98,13.74,0.98,0.98,0,1.96,0,0.98
 84-94,0,0,6.37,1.06,0,1.06,1.06,80.71,0,0,0,1.06,287.81,0,0,12.74,0,4.25,0,0,1.06,19.12,0,0,1.06,63.72,2.12,0,1.06,1.06,2.12,0
 96-106,0,0,13.11,0,4.37,4.37,0,73.22,0,1.09,2.19,5.46,492.87,2.19,2.19,17.49,8.74,17.49,1.09,1.09,3.28,97.26,1.09,0,8.74,77.59,2.19,2.19,0,2.19,0,1.09
108-118,0,0,12.26,0.77,3.83,3.06,0.77,42.89,0.77,0,1.53,2.3,575.24,0.77,0.77,31.4,3.83,17.62,0,0,2.3,102.64,0,0.77,2.3,99.58,0.77,0.77,0,0.77,0,0
120,0,0,11.76,0,1.96,1.96,1.96,47.03,1.96,0,0,1.96,462.51,1.96,0,15.68,13.72,11.76,0,0,0,94.07,0,0,5.88,70.55,0,0,0,0,0,0
