stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,8.06,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,6.31,0,0,0,0.57,0.57,0.57,0,1.15,0,0,0,0.57,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,14.72,0,0,0,0.98,2.94,1.96,0,0.98,0,0,0,1.96,0.98,0,0,6.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,9.82,0,0,0.98,0.98,10.8,10.8,0,4.91,0,0,0,34.36,0,0,1.96,6.87,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,62.66,0,0,3.19,2.12,7.43,5.31,0,2.12,0,0,0,25.49,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,136.61,1.09,1.09,28.41,17.49,21.86,49.18,0,0,1.09,3.28,0,220.76,4.37,3.28,15.3,32.79,0,1.09,0,2.19,0,5.46,0,3.28,3.28,0
108-118,0,5.36,165.45,1.53,0.77,4.6,17.62,24.51,46.72,0.77,0,0,2.3,0,205.28,5.36,1.53,10.72,9.19,0,0,0,1.53,0.77,1.53,1.53,2.3,0.77,0.77
120,0,0,241.05,5.88,1.96,15.68,31.36,58.79,111.71,0,0,0,1.96,1.96,419.39,5.88,7.84,25.48,27.44,3.92,0,3.92,5.88,0,1.96,0,0,1.96,0
