stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,1,0,1,5,0,0,0,0
 24-34,0,0,0.82,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,34.48,0,0,0,0,1.64,0,0,1.64,8.21,0,0.82,0,0
 36-46,0,0,0,0.81,0,8.86,0.81,0,0,2.42,0,0,0,0,0.81,0,0.81,3.22,0,0.81,26.59,0,0.81,0.81,0,2.42,0,0,0,4.83,0,0,0,0.81
 48-58,0,0,0.57,0,0,18.94,0,0,0.57,4.59,0.57,0,0,0,0,0.57,0,1.72,0,0,39.59,0,0.57,0.57,0,1.15,0,0,0,6.31,0,0.57,0,0
 60-70,0,0,1.96,0,0,24.54,0,0.98,0,0.98,0,0,0,0.98,0,0,0,3.93,0,0,39.26,0,0,0,0,2.94,0,0,0,0.98,0.98,1.96,0,0
 72-82,0,0,0,0,0,16.69,0,0,0,2.94,0,0,0.98,0,0,0,0,9.82,0,0.98,20.61,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,8.5,1.06,0,0,2.12,0,0,0,0,1.06,1.06,1.06,6.37,0,1.06,6.37,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,2.19,1.09,0,2.19,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,16.39,0,0,0,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0,1.53,1.53,0,8.43,0,0,0,0,0,0,1.53,0,0,0,0.77,2.3,0,1.53,13.79,0,0,0,0,2.3,0,0,0,0,0,1.53,0,0
120,0,0,13.72,0,1.96,3.92,0,1.96,0,3.92,3.92,0,1.96,1.96,1.96,0,1.96,9.8,1.96,3.92,23.52,0,0,1.96,0,5.88,0,1.96,0,0,0,5.88,0,0
