stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,3.15,0,0,0,0,0
 14-21,1,0,2,18,0,0,0,0,1,0,0,6,3,7,0,0,0,1,2,5,0
 24-34,0,0,0,16.42,0,0.82,1.64,0.82,0,20.52,0,4.93,5.75,5.75,0.82,0,0.82,0,0,1.64,2.46
 36-46,0,0,0,2.42,0,0,0,0,0,41.09,0,1.61,0,11.28,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,2.3,0,0,0,24.1,0,0.57,0,5.16,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,1.96,0,0,0,38.28,0,0,0,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,1.96,0,53.99,0,2.94,0,4.91,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,74.34,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,76.5,0,1.09,0,2.19,1.09,0,0,0,0,0,2.19
108-118,0,0,0,0,0,0,0,0,0,55.92,0,1.53,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,96.03,0,0,0,1.96,0,0,0,0,0,0,0
