stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,22.03,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,1,2,0,1,2,0,0,1,0,2,45,0,0,0,3,0,1,3,13,0,0
 24-34,0,0.82,0,0,4.93,0,0.82,0,0,0,7.39,0,4.93,106.71,0,0,1.64,0,0,0,1.64,47.61,0.82,0
 36-46,0,0,0,0,2.42,0.81,0.81,0,0,0.81,9.67,0,4.03,17.72,0,0,0,0,0,0,0,7.25,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0,0,1.15,0.57,1.15,5.74,0.57,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,0.98,0,0.98,0,1.96,0,0,0,0.98,0,0.98,1.96,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
