stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,4,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0.81,0,0,4.03,0,0,2.42,0,0.81,0
 48-58,0,0.57,0.57,1.15,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0.57,0
 60-70,0,0.98,2.94,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0.98
 72-82,0,2.94,0,0,0.98,0,0,0,2.94,0.98,0,0.98,0,0,0,0,0,0
 84-94,1.06,2.12,2.12,0,0,0,0,0,3.19,0,0,2.12,0,0,0,0,0,0
 96-106,2.19,0,4.37,0,0,0,1.09,0,1.09,0,1.09,3.28,0,0,2.19,0,0,0
108-118,2.3,0,19.92,0,0,0,0,0,3.06,0,0,1.53,0,0.77,0.77,0,0,0
120,3.92,3.92,15.68,0,0,0,0,0,5.88,0,0,0,0,0,5.88,0,1.96,0
