stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,5,142,1181,227,6,0,0,0,4,85,2,10,0,39,0,0,29,0,406,9,0,282,355,9,0,37,17,0,8,60,126,6,408,264,0,14,0,0
 24-34,0,5.75,70.59,448.19,19.7,8.21,0.82,7.39,0.82,2.46,43.51,0,4.93,0,15.6,0.82,4.1,55.82,0.82,274.99,11.49,0.82,119.84,162.53,0.82,0.82,4.1,0,0,4.93,1.64,16.42,0.82,19.7,88.65,0,74.7,0,0
 36-46,0,0,7.25,119.24,2.42,4.03,0.81,5.64,0.81,1.61,29.81,0,0.81,0,0.81,0,0.81,24.17,0.81,94.26,1.61,6.45,20.14,32.23,0,1.61,0,0,0,1.61,0,0.81,0,0,19.34,0,7.25,0,0.81
 48-58,0,0,1.15,55.09,0,6.31,0.57,2.87,2.3,1.72,20.08,0,0,0,0.57,0,0,6.31,0,35,0,4.59,5.74,17.79,0.57,0,0,0,0,1.15,0,0,0,0,7.46,0,0.57,0.57,0
 60-70,0,0,0,17.67,0,0,0,1.96,1.96,0.98,4.91,0,0.98,0.98,0,0,0,2.94,0,7.85,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,7.85,0,5.89,0,2.94,2.94,0.98,1.96,0,0,0.98,0.98,0,0,0,0,5.89,0,0,0.98,5.89,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0.98
 84-94,0,0,0,11.68,0,3.19,0,3.19,3.19,1.06,1.06,0,0,1.06,0,0,1.06,0,0,6.37,0,1.06,1.06,3.19,0,0,0,0,0,2.12,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,1.09,0,1.09,0,3.28,3.28,1.09,3.28,0,0,1.09,1.09,0,0,0,0,3.28,0,1.09,1.09,3.28,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,5.36,0,0.77,0,3.06,0,0,1.53,0,0,0.77,0.77,0,2.3,0,0.77,3.83,0,0,0,1.53,0,0,0,0,0.77,0.77,0,0,0,0,0,0,1.53,1.53,0
120,0,0,0,3.92,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
