stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,3,2,0,0,0,0,1,0,0,0,42,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,6.57,0,0,0,0,0,0,0,5.75,0,0,0,0.82,0,0,1.64,460.5,0,18.88,2.46,0,0,0,0,0,0,0.82,123.95,0,0,0,0,0
 36-46,0,0,0,0,3.22,0.81,0,58.01,0,0,0.81,0,0,1.61,0,0.81,0.81,0,0,4.03,0,0,0,1535.61,0,29.81,3.22,0,0,0.81,0,0,0,0,214.31,0,0,0.81,0,0
 48-58,0,0,0,0,6.89,0.57,0,191.08,0,0.57,0,14.35,0,0,0,0,0,0,0.57,25.25,0,0,1.72,2029.55,0,18.36,1.72,0,0,1.72,0,0,0,0,301.25,0,0,1.72,0,2.87
 60-70,0,0,0,0,2.94,0.98,0,360.22,0,0.98,0,22.58,0,0.98,0.98,0,0,0,0,22.58,0,0,1.96,2921.01,0,15.7,3.93,0,0,2.94,0,0,0,0,315.07,0,0,0.98,0,0
 72-82,0,0,0.98,0,19.63,8.83,0,449.6,0,0,1.96,48.1,0,0.98,0.98,0,0,0,1.96,50.06,1.96,0.98,2.94,2529.74,0,40.25,4.91,0,0,2.94,0,0.98,0,0,168.85,0,0.98,1.96,1.96,3.93
 84-94,0,0,0,0,14.87,3.19,0,341.98,0,0,0,45.67,1.06,3.19,3.19,1.06,1.06,0,0,27.61,0,2.12,2.12,1270.2,0,29.74,4.25,0,0,7.43,0,0,1.06,0,120.01,1.06,0,4.25,0,1.06
 96-106,0,0,0,0,14.21,1.09,0,252.45,0,1.09,0,40.44,2.19,1.09,0,0,1.09,2.19,3.28,19.67,0,0,3.28,1061.15,0,61.2,2.19,0,1.09,5.46,0,0,1.09,0,44.81,2.19,1.09,1.09,0,1.09
108-118,0,0,2.3,0,20.68,3.06,0.77,159.32,0.77,0,0.77,20.68,0.77,0,2.3,1.53,1.53,0.77,0.77,22.98,0.77,0.77,0.77,1536.52,0,38.3,1.53,0,0.77,3.83,0.77,0,0.77,0,22.21,2.3,1.53,2.3,0,1.53
120,1.96,0,0,0,23.52,3.92,0,190.1,0,1.96,5.88,15.68,0,0,3.92,3.92,0,0,0,25.48,0,0,1.96,1442.4,0,31.36,3.92,0,0,11.76,0,0,0,0,33.32,1.96,1.96,1.96,0,0
