stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1871.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,796.85,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,10.51,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,139.32,5.26,0,0,36.8,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,0,0,0,34.62,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,0,5,0,0,2,0,2,0,0,0,0,0,4,0,0,5,21,0,0,0,0,0,1,0,4,0,0,5,12,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,11.49,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,1.64,57.46,0.82,0,0,0,0,2.46,0,0,0,0,1.64,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,18.53,0.81,0,1.61,0,0,0,0,0,0,0,11.28,0,0,3.22,53.98,0.81,0.81,0,0,0,9.67,0,0,0,0,0,16.92,0,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,0,22.95,0,0,5.74,0.57,0,0.57,0,0,0,0,10.9,0,0,1.15,37.87,0,0.57,0.57,0,0,0.57,0,0,0,0,0,6.89,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,54.97,0,0,7.85,0.98,0,0,0,0,0.98,0,24.54,0.98,0.98,0,69.69,0.98,2.94,0,0,0,4.91,0,0,0,0,0,14.72,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,4.91,0.98,0,49.08,0,1.96,12.76,0.98,0,0.98,0.98,0,0.98,0,32.39,0,0,1.96,73.62,0.98,1.96,0,0,0,3.93,0,0,0,0,0,6.87,1.96,0.98,5.89,0.98,0
 84-94,0,0,0,0,3.19,1.06,0,25.49,1.06,1.06,4.25,1.06,0,0,1.06,1.06,0,1.06,21.24,1.06,0,2.12,37.17,0,0,0,0,1.06,5.31,0,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,6.56,1.09,1.09,10.93,0,0,5.46,3.28,0,0,3.28,0,1.09,0,15.3,1.09,0,0,32.79,1.09,2.19,2.19,0,0,8.74,0,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,4.6,0,0.77,19.92,0.77,0.77,6.13,2.3,0,0.77,1.53,0,0,0.77,12.26,0.77,0.77,2.3,29.87,0,1.53,0.77,0,0,3.83,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77
120,0,0,0,0,3.92,1.96,3.92,13.72,1.96,1.96,3.92,0,0,0,3.92,0,0,0,5.88,0,0,1.96,33.32,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0
