stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,632.54,14350.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,2286.35,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,13.14,0,0,0,18.4,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,126.18,0,0,0,42.06,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,9.44,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,69.23,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,18,7,0,10,0,0,0,2,0,1,2,0,0,0,0,3,0,19,0,9,128,1,0,0,4,0,0,1,18,0,28,23,0,0,3,0,0
 24-34,0,0,0,0,4.93,2.46,0,32.01,0,0,5.75,4.1,0,0,0,0.82,1.64,0,0,6.57,0.82,25.45,0,11.49,250.36,0,0.82,0,0,0,1.64,0,0.82,0,28.73,64.03,0,0,42.68,0,0
 36-46,0,0,0,0,4.03,0,0,151.47,0,0.81,4.83,12.09,0.81,0,0,0.81,0,0,0,5.64,1.61,33.03,1.61,8.86,185.3,0.81,0.81,0,0,0,1.61,0,0,0,0,49.95,0,0,20.95,0,0
 48-58,0,0,0,0,0,0.57,0,276.57,0,0.57,7.46,14.35,0,0,0.57,0.57,0,0,0.57,0.57,1.15,30.41,2.3,8.03,93.53,0,0,0.57,0,0,1.15,0,0,0,0,21.23,0,0,12.05,0,0
 60-70,0,0,0,0,0.98,0,0,437.76,0,0,3.93,17.67,1.96,0,0.98,0.98,0.98,0,0,0.98,0.98,29.45,1.96,3.93,60.85,0,0.98,0.98,0,0,1.96,0,0,0,0,2.94,0,0.98,13.74,0,0
 72-82,0,0,0,0,4.91,0,1.96,446.66,0.98,0,2.94,53.99,1.96,0,0.98,1.96,0,0.98,0,0,0,54.97,0,1.96,53.99,0,0,2.94,0,0.98,0,0,0,0,0,4.91,0,0,43.19,3.93,0
 84-94,0,0,0,0,1.06,1.06,0,352.6,0,0,4.25,30.8,5.31,0,0,4.25,1.06,0,2.12,0,2.12,27.61,0,3.19,36.11,0,0,1.06,0,0,1.06,0,0,0,0,6.37,0,1.06,33.99,1.06,0
 96-106,0,0,1.09,0,1.09,5.46,10.93,308.18,0,0,6.56,53.55,9.84,0,0,0,0,1.09,0,3.28,1.09,24.04,2.19,3.28,45.9,0,0,5.46,0,0,0,0,0,0,0,1.09,2.19,1.09,59.01,0,1.09
108-118,0,0,0,0,2.3,4.6,16.09,235.15,0.77,0,7.66,42.13,32.17,0,0.77,7.66,0,0.77,0.77,3.83,3.06,27.57,1.53,3.06,42.13,0.77,0,0.77,0,0,2.3,0,0,0,0,3.06,2.3,0,36,0.77,0
120,0,0,0,0,1.96,13.72,7.84,248.89,1.96,3.92,7.84,43.12,50.95,0,1.96,9.8,0,0,3.92,0,1.96,19.6,0,7.84,45.08,3.92,0,1.96,0,1.96,0,0,0,0,0,5.88,5.88,0,64.67,1.96,0
