stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,31,3,0,50,0,0,0,11,3,1,0,0,0,0,0,0,27,0,0,24,836,46,1,23,3,0,2,1,10,2,0,11,207,0,0,3,0,0
 24-34,0,0.82,2.46,29.55,0.82,0,258.57,0,3.28,1.64,54.18,0.82,4.1,0,0.82,0,0.82,0,0.82,69.77,0.82,0,27.09,2530.7,9.85,4.1,16.42,0,0,9.85,0,0.82,2.46,0.82,6.57,543.41,0,0,11.49,0,0.82
 36-46,0,0,0.81,16.92,0,0,465.68,0,0,1.61,232.03,1.61,4.03,0,0,0.81,1.61,0.81,3.22,96.68,0,3.22,20.95,2812.59,4.03,4.83,14.5,0,0,8.06,0,0,0.81,0,0,757.33,0,0.81,4.03,0.81,1.61
 48-58,0.57,0,0,12.05,0.57,0,541.67,0,0.57,4.59,420.03,0,2.3,1.15,1.15,1.15,1.72,0.57,0.57,129.11,0,5.16,16.07,1665.18,5.16,2.3,16.07,0,0.57,6.89,0,0,0.57,0,0,545.11,0,0,5.16,0.57,1.15
 60-70,0,0,0,3.93,0,0,648.79,0,0.98,3.93,372.98,0,0,0,0,0,2.94,0,0.98,114.84,0,6.87,11.78,1384.93,1.96,3.93,8.83,0,0.98,5.89,0,0,0.98,0,0,228.69,0.98,2.94,4.91,1.96,1.96
 72-82,0,0.98,0,14.72,0.98,0.98,677.35,2.94,0.98,0.98,350.45,4.91,0.98,0.98,0.98,5.89,3.93,0,0,189.46,0,5.89,12.76,1033.69,0.98,0.98,17.67,0,4.91,1.96,0,0,0.98,0,0,115.84,0,4.91,10.8,11.78,3.93
 84-94,0,0,0,20.18,3.19,1.06,514.03,1.06,2.12,4.25,189.04,2.12,2.12,2.12,3.19,3.19,0,0,0,133.82,0,5.31,11.68,485.35,0,5.31,14.87,0,5.31,9.56,0,0,1.06,0,0,73.28,1.06,6.37,9.56,10.62,3.19
 96-106,0,1.09,0,24.04,1.09,0,368.29,1.09,1.09,1.09,202.18,1.09,3.28,6.56,2.19,2.19,0,2.19,0,102.73,1.09,6.56,4.37,412,0,4.37,15.3,0,4.37,9.84,0,0,3.28,0,0,39.34,1.09,5.46,14.21,8.74,1.09
108-118,0,0,0,19.92,1.53,0,278.81,0,4.6,3.06,166.98,2.3,2.3,3.83,5.36,6.89,0,1.53,1.53,73.53,1.53,0,3.83,484.09,3.83,1.53,14.55,0,2.3,3.83,0,0,0.77,0.77,0,19.92,1.53,4.6,10.72,9.96,2.3
120,0,0,0,9.8,0,0,215.58,0,0,1.96,168.54,3.92,0,7.84,0,1.96,0,1.96,0,48.99,0,1.96,9.8,456.63,0,3.92,15.68,0,3.92,3.92,0,0,1.96,0,0,27.44,1.96,3.92,9.8,7.84,0
