stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,527.12,10463.28,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0
  5-6,373.91,2114.72,0,0,0,0,0,24.52,0,0,0,91.94,0,0,0,18.39,0,0,0,0,0,0
  7-9,15.77,39.43,320.7,0,0,70.98,0,42.06,0,0,0,1403.73,2.63,0,105.15,0,0,0,0,0,0,0
 10-12,0,84.97,113.29,0,0,22.03,0,9.44,0,0,0,2149.38,6.29,0,191.97,0,6.29,6.29,0,0,0,0
 14-21,0,0,0,8,2,2,2,0,1,11,1,612,2,1,0,0,124,0,0,16,32,0
 24-34,0,0,0,2.46,0,1.64,0,0,0.82,1.64,0,167.45,0.82,0,0,0.82,0.82,0,0.82,3.28,4.93,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0.81,0,46.73,0,0,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,22.38,0,0,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,9.82,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,6.87,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,0,0,0,15.93,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,4.37,2.19,0,0,0,0,9.84,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,2.3,0.77,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
