stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,1.64,0,0,13.95,0,0,0,0,0,1.64,0,2.46,0,0,0
 36-46,0,0,0,0,7.25,0,0,0.81,0,0.81,0,1.61,24.98,0,0,0,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,0,0,18.36,0,0.57,4.02,0,7.46,0,1.72,57.38,0,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,46.13,0,0,9.82,0,2.94,2.94,1.96,113.86,0,0,0,0,0.98,0,0,2.94,0,0,0.98
 72-82,0,0,2.94,0,56.94,0,0,11.78,1.96,23.56,0.98,4.91,173.75,0.98,0,0,0,0,0.98,0,1.96,0.98,0,1.96
 84-94,0,0,1.06,0,50.98,0,0,10.62,0,16.99,1.06,1.06,79.65,0,0,0,0,0,0,0,3.19,2.12,0,1.06
 96-106,0,0,1.09,1.09,61.2,0,0,13.11,0,21.86,0,3.28,78.68,0,1.09,0,2.19,0,2.19,0,2.19,0,1.09,2.19
108-118,0,0.77,0.77,0,52.09,0,0.77,10.72,0,11.49,0.77,1.53,88.85,0,0,0,0,0.77,1.53,0,3.83,0.77,0,1.53
120,0,0,0,0,33.32,1.96,0,1.96,0,15.68,3.92,1.96,68.59,0,0,0,0,0,0,0,3.92,0,0,1.96
