stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,129.03,6.29,0,0,50.35,0,0,3.15,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0
 24-34,0,0,2.46,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,59.92,0,0.82,0,0,3.28,47.61,0,0.82,0.82,0,0,2.46,0,0,0,1.64,8.21,0,2.46,0,0
 36-46,0,0,0,0,0,0,4.03,0,0.81,0,1.61,0.81,0,0.81,0,0.81,0,0,25.78,0.81,2.42,0.81,0,0.81,12.89,1.61,0,0,0,0,0.81,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,8.61,0,0,0,1.72,2.87,0,0,0,0,0,0,26.4,0.57,4.02,0,0,0,23.53,0.57,0,0,0,0,1.72,0,0,0,0,6.89,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,19.63,0,0.98,0,0.98,15.7,0,0,1.96,0.98,0,0,51.04,0,2.94,0,0,1.96,26.5,0,0.98,0.98,0,0,0.98,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,29.45,0,0,0,5.89,95.22,0,0,1.96,0,0,1.96,148.23,0,13.74,0,0,2.94,58.9,0.98,0.98,0,0,0,5.89,0,0,0,0,6.87,0,0.98,0,0.98
 84-94,0,0,0,6.37,4.25,0,14.87,0,1.06,0,2.12,221.97,0,0,1.06,0,0,0,459.86,1.06,10.62,0,0,2.12,40.36,0,0,1.06,0,0,6.37,0,1.06,0,0,0,0,0,0,0
 96-106,0,6.56,0,27.32,19.67,4.37,74.31,1.09,3.28,4.37,12.02,385.77,0,3.28,9.84,1.09,0,2.19,735.49,0,56.83,4.37,3.28,6.56,289.6,1.09,7.65,5.46,0,3.28,40.44,0,1.09,2.19,0,2.19,3.28,14.21,4.37,3.28
108-118,0,1.53,0,24.51,6.13,7.66,49.02,0.77,3.06,3.83,21.45,452.68,0,2.3,8.43,1.53,2.3,0.77,1457.63,2.3,44.43,0,1.53,6.89,252,2.3,3.83,3.83,0,0.77,19.15,0,3.06,1.53,0,2.3,1.53,6.13,3.06,3.83
120,0,0,0,17.64,13.72,0,35.28,0,1.96,1.96,19.6,342.96,0,1.96,5.88,0,1.96,1.96,766.28,0,47.03,0,0,1.96,199.9,5.88,0,3.92,0,1.96,25.48,0,1.96,0,0,5.88,3.92,5.88,1.96,0
