stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,3,14,5,0,8,0,0,1,1,0,0,0,25,6,306,0,0,2,3,0,15,1,1,5,76,3,0
 24-34,1.64,0.82,0,0,4.93,0,0.82,2.46,0.82,0,0,0.82,13.13,5.75,208.5,0,0,1.64,0,0,0,0.82,0,0.82,55.82,2.46,0
 36-46,0,0,0,0,2.42,0,0,4.03,0,0,0,0,15.31,1.61,131.32,2.42,0,0,0,0,0,0,0,0,27.39,1.61,0
 48-58,0,0,0,0,3.44,0,0,8.61,0,0,0.57,0,9.75,1.15,81.48,0,0,0.57,0,0,0,0,0,0,6.31,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,6.87,0,0,0,0,0.98,0,42.21,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0,0,3.93,0,57.92,0,0,0,0,0.98,0,0,0,0,5.89,0.98,0
 84-94,0,0,0,0,3.19,0,1.06,1.06,0,0,0,0,1.06,0,46.73,0,1.06,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,4.37,0,0,1.09,0,1.09,0,0,3.28,0,31.69,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0.77,0.77,2.3,0.77,0,3.83,0,0.77,0,0,1.53,0,43.66,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,1.96,0,0,7.84,0,3.92,0,0,0,0,33.32,0,0,0,0,1.96,0,0,0,0,1.96,0,0
