stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,3.28,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,1.61,0.81,0,0,1.61,0,0,0,16.11,0,0,2.42,0,0.81,0.81,2.42,0,0,0,0.81
 48-58,0,0,0,1.72,0,1.15,0,0,0,0,0,0,0,2.3,0,0,0,18.94,0,0,1.72,0,0.57,0,0.57,0,0,0.57,0
 60-70,0,0,0,5.89,0,1.96,0,0,0.98,0,0,0,0,1.96,0,0,0.98,10.8,0,0,0.98,0,3.93,0.98,0,0,0,0.98,0
 72-82,0,0,2.94,2.94,0,1.96,0,0.98,1.96,1.96,0,0,0.98,1.96,0,0,0,17.67,0,0,1.96,0,0.98,0.98,0,1.96,0,3.93,0
 84-94,0,0,6.37,10.62,0,1.06,1.06,0,0,4.25,0,0,0,1.06,0,0,1.06,12.74,0,0,8.5,0,0,0,0,10.62,0,2.12,0
 96-106,0,0,4.37,19.67,1.09,4.37,0,0,0,7.65,0,2.19,2.19,2.19,0,1.09,1.09,8.74,0,0,16.39,0,5.46,0,0,50.27,0,3.28,1.09
108-118,0,0,5.36,13.79,0,3.83,0.77,0,0.77,9.96,1.53,0,1.53,0.77,1.53,0,0,7.66,0,0,7.66,0,4.6,0,0,49.02,0,2.3,0
120,0,0,3.92,29.4,0,3.92,1.96,0,0,0,0,0,3.92,0,3.92,0,0,1.96,0,0,13.72,1.96,0,0,0,23.52,1.96,0,0
