stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,18.88,0,0,0,12.59,0,0,0
 14-21,0,0,0,5,2,3,0,0,126,3,0,0,0,0,0,0,349,0,0,0,0,1,1,3,1016,0,0,0
 24-34,0,0.82,0,1.64,0,0.82,0,0,124.77,0,0,0,0,0.82,0,1.64,140.37,0,0,0,0,1.64,0,1.64,599.22,0,0.82,0
 36-46,0,0,0,0,0,3.22,0,0.81,67.68,0,0,0,0,4.03,0,0,65.26,0,1.61,0,0,0.81,0,0,290.85,0,0.81,0
 48-58,0,0,0,0,0,6.31,0,0,63.69,0,0,0,0,4.02,0,0.57,36.72,0,0.57,0,0,0,0,0,230.67,0,0,0
 60-70,0,0,0,0,0,5.89,0,0,93.24,0,0,0.98,0,4.91,0,0,22.58,0.98,2.94,0.98,0,0.98,0,0,117.78,0,0.98,0
 72-82,0,0,0,0.98,0,11.78,0,0,183.57,0.98,0.98,0,0,1.96,0,1.96,17.67,0,2.94,0,0,0,0,0,81.48,0,0,0
 84-94,0,0,0,0,0,9.56,0,0,145.5,0,0,1.06,0,4.25,0,1.06,12.74,0,1.06,0,0,0,0,0,73.28,0,0,0
 96-106,0,0,0,5.46,2.19,7.65,1.09,0,132.23,0,0,1.09,1.09,6.56,0,1.09,9.84,0,1.09,0,0,0,0,0,86.33,0,0,1.09
108-118,0,0,0,3.06,0,5.36,0,0,136.34,0.77,0,0,0,3.06,0.77,0.77,9.19,0,0.77,0,0,0,0,0,53.62,0.77,0,0
120,0,0,0,3.92,0,5.88,1.96,0,109.75,1.96,1.96,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,56.83,0,0,0
