stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,63,0,0,0,0,0,0,4,4,8,0,0,0,0,2,0,0,0,30,0,0,0,0,0,0,0,0,3,3,16,0,0,8,0,0
 24-34,0,0,0.82,0,3.28,36.12,9.03,0,4.93,1.64,0,0,4.1,12.31,29.55,0,0.82,0,0,28.73,1.64,0,6.57,214.24,0.82,0.82,4.93,0,0,1.64,0,0,0,0.82,119.02,0,0,40.22,0,0
 36-46,0,0,0.81,0,0.81,3.22,150.66,0,2.42,0,2.42,0,4.83,24.98,5.64,0,0.81,0,0,32.23,1.61,0,9.67,255.4,1.61,0.81,1.61,0,0,3.22,0,0,1.61,0,144.21,0,0,28.2,0,0
 48-58,0,0,1.72,0,2.3,14.35,590.45,0.57,1.72,4.59,7.46,0,8.03,28.12,4.59,1.72,2.3,0,0,41.31,3.44,1.15,7.46,199.68,0.57,0.57,5.16,0,1.15,5.74,0,0,1.15,0,64.84,0,0,29.84,0,0
 60-70,0.98,0,0,0,3.93,11.78,802.88,0.98,0,0.98,9.82,1.96,2.94,29.45,8.83,0.98,12.76,2.94,0,53,3.93,0,5.89,366.11,0,1.96,11.78,0,4.91,18.65,0,0,0,0,53,0,0.98,21.59,0.98,0.98
 72-82,0,0,0.98,0,15.71,52.03,451.56,0,2.94,0.98,27.49,6.87,7.85,69.7,8.83,0.98,21.6,0.98,0,69.7,8.83,1.96,0,566.42,0,0.98,24.54,0,0,13.74,0.98,0,0.98,0,43.19,3.93,0.98,78.53,2.94,0.98
 84-94,0,0,4.25,0,23.36,31.86,357.91,1.06,4.25,1.06,23.36,8.5,1.06,79.65,18.05,2.12,33.99,0,1.06,42.48,5.31,4.25,3.19,259.14,0,1.06,23.36,0,2.12,57.35,0,0,2.12,0,21.24,8.5,1.06,43.54,1.06,0
 96-106,0,0,4.37,0,34.97,46.99,214.2,0,3.28,0,28.41,22.95,8.74,125.68,13.11,3.28,48.09,2.19,0,37.16,13.11,1.09,3.28,257.91,0,2.19,31.69,0,0,42.62,0,1.09,1.09,0,18.58,10.93,1.09,73.22,1.09,2.19
108-118,0,0,1.53,0,27.57,37.53,149.36,0.77,4.6,2.3,29.87,18.38,1.53,94.21,13.79,0,26.04,0,0,15.32,9.96,0,3.06,282.64,0,0.77,15.32,0,0,32.17,0,0.77,1.53,0,7.66,12.26,1.53,40.6,0.77,0
120,0,0,0,0,29.4,31.36,145.02,1.96,1.96,1.96,33.32,19.6,3.92,97.99,15.68,0,31.36,0,0,13.72,3.92,1.96,1.96,350.8,0,0,15.68,0,1.96,39.2,0,1.96,1.96,0,15.68,1.96,1.96,45.08,1.96,0
