stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,8,1,1,0,0,0,0
 24-34,0,0,2.46,0.82,0,2.46,0.82,0,1.64,5.75,0,0,0,0,0,0,2.46,0.82,0,0.82,26.27,4.93,8.21,0.82,22.16,0.82,11.49,0,0,0,0.82
 36-46,0,1.61,0.81,0.81,0,4.83,0,0,2.42,1.61,0,0,0,0.81,0.81,4.83,2.42,0,0,0,38.67,4.83,4.83,0,16.11,0,7.25,0,0,0,0.81
 48-58,0,0.57,0,0,0,5.74,0,0,4.02,3.44,0,0,0,0.57,2.87,2.87,5.16,1.15,0,0,32.71,4.02,8.03,1.15,8.03,0,7.46,0,0,0,0.57
 60-70,0,1.96,0,0,0,4.91,0,0,6.87,13.74,0,0,0,0,6.87,1.96,3.93,2.94,0,0.98,17.67,6.87,10.8,3.93,5.89,0,4.91,0.98,0,0.98,0.98
 72-82,0,11.78,0.98,1.96,0,12.76,0,0,19.63,43.19,0,0,0,0,27.49,0.98,3.93,2.94,0,0.98,34.36,6.87,29.45,0,3.93,0,1.96,0.98,0,0,2.94
 84-94,0,11.68,2.12,0,0,4.25,0,0,8.5,67.97,0,0,0,0,22.3,7.43,8.5,1.06,0,0,22.3,7.43,41.42,1.06,6.37,0,1.06,2.12,0,0,0
 96-106,0,13.11,2.19,2.19,1.09,7.65,0,0,14.21,86.33,0,0,0,0,62.29,7.65,3.28,3.28,1.09,0,24.04,8.74,41.53,2.19,5.46,0,2.19,10.93,1.09,0,3.28
108-118,0,11.49,3.06,3.06,0,3.83,0,0.77,15.32,89.62,0,1.53,0.77,0,42.13,6.89,4.6,5.36,0,0.77,24.51,13.79,40.6,1.53,2.3,0,3.06,3.83,0,0,4.6
120,0,7.84,1.96,7.84,0,0,0,0,9.8,97.99,0,1.96,1.96,0,31.36,9.8,0,1.96,0,0,27.44,15.68,33.32,3.92,1.96,0,0,1.96,0,0,3.92
