stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,39.53,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,36.78,331,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,10.51,10.51,0,0,7.89,0,0,10.51,0,0,0,0,0,228.7,2.63,0,0,63.09,2.63,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,6.29,0,0,3.15,0,0,0,0,0,84.97,0,0,0,34.62,0,0,3.15,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0.82,4.93,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
