stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,0,0,0,0,0,1,17,2,0,0,0,1,2,0,0,0,0,0,0,0,2
 24-34,0,0,0,9.03,0,0,0,0,0,0.82,36.94,0.82,0,0,0,0,2.46,0,0,0,0,0,0.82,0,9.85
 36-46,0,0,0,0,0,0,0,0,0,0.81,37.87,0.81,0,0,0,0,2.42,0,0,0,0,0.81,0,0,12.89
 48-58,0,0,0,0.57,0,0.57,0,1.15,0,1.72,33.85,0.57,0,0,1.15,0,4.02,0,0,0,0,0,0,0,11.48
 60-70,0,0,0,2.94,0,1.96,0,0,1.96,0,45.15,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0,11.78
 72-82,0,0,0.98,3.93,0,1.96,0.98,0.98,5.89,2.94,85.4,0.98,0,0.98,5.89,0,1.96,0,0,0,0,0,0,0.98,36.32
 84-94,0,1.06,1.06,4.25,0,0,0,0,4.25,1.06,107.27,0,0,0,1.06,0,0,0,0,3.19,0,0,1.06,0,15.93
 96-106,0,0,1.09,12.02,0,1.09,0,0,7.65,1.09,172.67,0,0,1.09,5.46,0,6.56,0,0,1.09,0,0,0,0,37.16
108-118,0,0.77,2.3,5.36,0,0,0.77,0.77,3.06,0,131.75,0,0,0,3.06,0,4.6,0,0,0.77,0.77,0,0,0,22.98
120,0,0,3.92,13.72,1.96,1.96,0,0,5.88,0,131.31,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,29.4
