stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,periderm,pgc,spinal_cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
 24-34,0,1.64,0,2.46,0,0,0,0,0,0,0.82,0,4.93,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,1.61,0.81,4.83,0,0.81,0,3.22,0,2.42
 48-58,0,0,0,2.3,0,0,0,0,0,0,2.3,0,4.59,0,0,0,2.3,0,1.15
 60-70,0,0.98,0,0.98,0,0,2.94,0,0,0,2.94,0,6.87,0,0,0,2.94,0,1.96
 72-82,0,0,0.98,0.98,0.98,0,0.98,0,0,0,2.94,0,7.85,0,0,0,1.96,0.98,3.93
 84-94,0,0,0,6.37,0,0,0,0,0,0,2.12,0,3.19,0,0,0,0,0,5.31
 96-106,0,1.09,1.09,3.28,0,0,0,0,1.09,0,4.37,0,0,0,1.09,0,0,1.09,3.28
108-118,0,1.53,1.53,2.3,0,0.77,1.53,0,0.77,0,3.06,0,3.06,0,0.77,0,0,0,10.72
120,0,0,5.88,5.88,0,0,0,0,0,1.96,0,0,3.92,1.96,0,0,0,0,1.96
