stage,blastomeres,eye,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,5,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,0,0,5.64,0,0,0,0
 48-58,0,0.57,0,0,4.02,0.57,0,0.57,1.72,0,0,0.57,0
 60-70,0,2.94,0,0.98,9.82,0,0,0,3.93,0,0,0,0
 72-82,0,0.98,0.98,0.98,11.78,0,0.98,0,2.94,0,0,0.98,0
 84-94,0,0,0,0,18.05,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,6.56,0,0,0,1.09,1.09,0,0,1.09
108-118,0,0.77,0.77,0.77,9.19,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
