stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,48.34,0,0,0,0,0,0,0.81,3.22,0,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,1.15,0,6.89,0,0.57,0,0.57,0,0.57,81.48,0,0,0.57,0,3.44,0,0.57,10.33,0,0,0,0,0.57,0,4.02,0,0,0,0,0
 60-70,0,0,0.98,0,13.74,0,0,0,0.98,0.98,0,115.82,0,0,1.96,0,3.93,0.98,0,39.26,0.98,0,0,0,2.94,0,6.87,0,0,1.96,0.98,0
 72-82,0.98,2.94,3.93,0,25.52,1.96,0,0.98,4.91,0,1.96,149.21,0,0,0.98,0,19.63,0,0.98,45.16,0.98,0,0.98,0,2.94,0,1.96,1.96,1.96,1.96,0.98,0
 84-94,0,4.25,1.06,0,26.55,1.06,2.12,0,4.25,0,0,193.29,1.06,1.06,0,0,9.56,3.19,0,22.3,2.12,0,0,0,7.43,0,4.25,1.06,1.06,2.12,0,4.25
 96-106,0,3.28,7.65,1.09,29.51,0,0,0,7.65,1.09,1.09,184.69,0,0,0,3.28,18.58,1.09,1.09,30.6,0,0,2.19,1.09,6.56,0,0,0,3.28,3.28,2.19,0
108-118,0,8.43,3.06,1.53,24.51,0,0,0.77,6.89,0.77,1.53,150.13,0,0,0,0.77,10.72,0.77,3.06,48.26,0.77,2.3,2.3,0.77,6.13,0.77,0.77,0,0.77,3.06,1.53,0.77
120,0,7.84,5.88,1.96,23.52,0,1.96,0,7.84,3.92,0,260.65,0,1.96,0,0,23.52,0,0,43.12,0,0,0,0,3.92,0,0,0,0,1.96,0,0
