stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,4.93,0,1.64,0,0,0.82,4.93,0,0,0.82,0,0,0,0,2.46
 36-46,0,0,0.81,0,0,0,0,0,0,16.92,0,0,0,0,0,7.25,0,0,0,0,0,1.61,0,0
 48-58,0,0,2.3,0,0,0,0,0,0,35.58,0,0,1.72,0,0.57,14.35,0,0,0,0,0,2.3,0,0
 60-70,0,0,6.87,0,0,0,0,0,0,58.89,0,0,0.98,0,0,24.54,0.98,0,0,0,0,1.96,0,0
 72-82,0.98,0,5.89,0,0,0.98,0,0,0,66.75,0.98,2.94,0.98,0,0,16.69,0,0,0,0,0,1.96,0,0
 84-94,0,0,3.19,0,0,1.06,0,0,0,103.02,0,0,0,0,0,3.19,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,92.89,1.09,4.37,2.19,0,0,3.28,0,0,0,0,1.09,0,0,1.09
108-118,0,0.77,5.36,0.77,0.77,0,0,0,0.77,134.81,0,4.6,1.53,0.77,0,9.19,0,0,0,0.77,0,0,0.77,0.77
120,0,0,5.88,0,0,0,0,0,0,68.59,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96
