stage,axial,blastomeres,endoderm,eye,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,12.59,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,4.03,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,0.57,2.87,0,0,0,0,1.15,0
 60-70,0,0,0,3.93,0,0,0,6.87,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,1.06,3.19,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,3.28,0,0,0,0,0,1.09
108-118,0,0,0,3.06,0.77,0,0.77,2.3,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
