stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,21.03,0,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,52.57,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.58,6.29,0,0,59.79,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,1,5,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,53,3,1,1,3,0,1,0,11,0,4,28,0,0,1,0
 24-34,0,0,0.82,0.82,5.75,0,0,13.13,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0,11.49,0,0,3.28,142.01,0,4.93,0,0,0,2.46,0,0,0,0,31.19,0,0,2.46,0
 36-46,0,0,0,0,0.81,0.81,0,16.11,0,0,6.45,0,0,0,0,0,0,0,0,0,10.47,0,0,4.03,178.86,0,1.61,0,0,0,3.22,0,0,0,0,45.92,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,35,0,2.3,7.46,0,0,0.57,0,0,0,1.15,0.57,0.57,16.07,1.15,0,2.87,140.01,0.57,0.57,0.57,0,0,1.15,0,0,0,0,30.41,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,82.45,0,2.94,10.8,0,0,0,0,0,0,0,0,0,12.76,0.98,1.96,2.94,253.23,0.98,0,0,0,0,3.93,0,0,0,0,19.63,0,0,0.98,0.98
 72-82,0,0,0,0,2.94,0,0,50.06,0,0,17.67,1.96,0,0,0,0,0,3.93,0.98,0.98,35.34,0,0,0.98,149.21,0,0,3.93,0,0,2.94,0,0,0.98,0,14.72,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,3.19,0,0,37.17,0,1.06,3.19,0,1.06,1.06,0,0,0,4.25,0,0,19.12,1.06,0,2.12,80.71,0,2.12,2.12,0,1.06,6.37,0,0,0,0,6.37,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,26.23,0,0,6.56,1.09,0,0,2.19,1.09,0,5.46,0,0,16.39,0,0,1.09,51.36,1.09,3.28,3.28,0,0,4.37,0,0,1.09,0,2.19,0,0,2.19,1.09
108-118,0,0,0,0.77,1.53,0.77,0,21.45,1.53,0,5.36,3.83,0,0,0,0,0.77,3.06,0,0,13.02,0,0,0.77,58.21,0.77,0.77,3.06,0,0,3.83,0,0,1.53,0,1.53,0.77,0,2.3,0
120,0,0,0,0,1.96,1.96,0,17.64,1.96,0,7.84,1.96,0,0,0,0,0,3.92,3.92,0,5.88,0,1.96,0,70.55,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,1.96
