stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0
 10-12,0,3.15,3.15,0,6.29,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,6.57,0.82,0,0,0,0.82,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,4.83,0,0,1.61,0,0.81,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,0,1.15,0,0,0,3.44,1.15,0,12.05,0,0,0,0,0.57,0,0,2.3,0.57
 60-70,0,0,0,0,4.91,0,0,0.98,0,0,0,11.78,0,0,13.74,0,0,0,0,0,0,0,3.93,0.98
 72-82,0,0,0,0.98,3.93,0,0,1.96,0,0,0,7.85,0,0,9.82,0,0.98,0,0,1.96,0,0,2.94,0.98
 84-94,0,0,0,1.06,2.12,1.06,0,1.06,0,0,0,6.37,0,0,5.31,0,0,1.06,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,1.09,4.37,0,0,5.46,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,1.53,0,0.77,0,7.66,0,0.77,3.06,0.77,0,1.53,0,2.3,0,0,0.77,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0
