stage,blastomeres,exocrine_pancreas,eye,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0.57,0.57,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,15.71,0,0.98,0.98,2.94,0,0,4.91,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,20.18,0,1.06,0,0,0,1.06,2.12,0,0,0,0
 96-106,0,1.09,0,0,1.09,1.09,20.76,0,1.09,0,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,1.53,0,0,0,32.17,0,0.77,0,3.83,0,0.77,9.19,0,0.77,0,0
120,0,0,0,0,0,0,19.6,0,0,0,3.92,0,0,1.96,0,0,1.96,0
