stage,blastomeres,endoderm,eye,fast_muscle,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,2.63,0,0,0,0,57.83,0,0,21.03,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,1,3,6
 24-34,0,0,0,0,4.1,0,0,0,0,0,3.28,0,0.82,0,0,0,0.82,7.39
 36-46,0,0,0,0,5.64,0,0,0,0,0,0.81,0.81,0,0,0,0.81,0,4.03
 48-58,0,0,0.57,0,5.74,0,0.57,0,0,1.15,0.57,0.57,0,0,0,1.15,0,5.16
 60-70,0,0,0.98,0,8.83,0,0,0,0,0,0.98,0,0,0,0,0,0,13.74
 72-82,0,0,0,0,9.82,0,0.98,0,0,0,0.98,0.98,0.98,0,0,0,0,4.91
 84-94,0,0,2.12,1.06,8.5,0,0,0,0,0,0,1.06,0,0,0,0,0,4.25
 96-106,0,0,0,1.09,5.46,0,0,0,0,0,1.09,3.28,2.19,0,0,1.09,0,1.09
108-118,0,0,0.77,0,5.36,0,0,0,0.77,1.53,1.53,0,0,0,0,0,0,2.3
120,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0
