stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,0,5.26,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,141.95,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,6.29,9.44,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,654.57,18.88,0,0,151.05,0,0,0,44.06,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,1,98,17,20,0,0,0,178,2,15,1,1,1,0,0,0,0,32,0,0,19,1542,62,0,1,6,0,0,54,0,3,69,1623,0,0,1,0,0
 24-34,0,0,0.82,0,15.6,3.28,32.83,0,0,0.82,201.93,3.28,0,0.82,0.82,0.82,0,0,0,0,25.45,0,0,13.13,2872.18,7.39,0.82,0.82,0,7.39,0,0,1.64,0,6.57,1659.77,0,0,9.85,0,0
 36-46,0,0,0.81,0,3.22,0,142.6,0.81,0,0,149.05,0,0,2.42,0.81,0,0,0,0,0,14.5,0,0.81,6.45,3354,3.22,0,1.61,0,2.42,0,0,0,0,0,1453.43,0,0,1.61,0,0
 48-58,0,0,0,0,5.74,0,351.17,0,0,1.15,212.88,0,0,1.15,0.57,0.57,1.15,0,0.57,1.15,17.79,0,0.57,4.02,1644.52,1.15,1.15,1.72,0,1.72,0,0,0,0,0,789.56,0,0,1.15,0,2.87
 60-70,0,0,0,0,5.89,0,408.31,0,0,0,234.58,0,0,0.98,0,0,10.8,0,0,0,8.83,0,0.98,0,705.71,0,0,2.94,0,0.98,0,0,0,0,0,204.16,0.98,0,0.98,0,0
 72-82,0,0,0,0,13.74,1.96,331.8,1.96,0,0.98,321.99,1.96,0,0,3.93,0,15.71,0,0,0,37.3,0,0.98,1.96,358.31,0,0.98,3.93,0,1.96,0,0,0,0,0,74.61,1.96,0,1.96,0,1.96
 84-94,0,0,0,0,9.56,1.06,285.69,1.06,0,1.06,261.26,0,0,0,1.06,2.12,7.43,0,0,0,38.23,1.06,2.12,4.25,304.8,0,0,2.12,0,3.19,0,0,0,1.06,0,93.46,0,1.06,1.06,0,0
 96-106,0,0,0,0,10.93,2.19,251.35,5.46,1.09,4.37,263.38,2.19,0,0,1.09,0,3.28,1.09,1.09,0,24.04,0,2.19,1.09,289.6,0,0,4.37,0,2.19,1.09,0,0,0,0,74.31,3.28,1.09,1.09,2.19,1.09
108-118,0,0,1.53,0,13.79,0.77,247.41,1.53,2.3,0.77,270.38,2.3,0,0.77,4.6,2.3,3.06,0,0.77,0,34.47,0,0,2.3,356.17,0,3.06,1.53,0,1.53,0,0,0,0,0,39.06,2.3,0.77,3.83,0,1.53
120,0,0,1.96,0,11.76,3.92,133.27,1.96,0,0,168.54,0,0,0,1.96,0,0,0,1.96,0,17.64,1.96,1.96,0,229.29,0,0,0,0,3.92,0,0,0,0,0,25.48,1.96,0,5.88,0,0
