stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,11,0,41,8,5,0,0,0,0,1,10,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,2.46,0.82,0,0,0.82,63.21,0,109.17,4.1,0,0,0,1.64,0,0.82,8.21,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,68.48,2.42,47.53,7.25,0,0,0,0,0.81,0,5.64,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,45.9,1.15,16.07,1.15,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,12.76,0,6.87,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,0.98,0,0,3.93,1.96,2.94,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,3.19,0,2.12,0,1.06,0,0,3.19,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,4.25,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,7.65,1.09,0,5.46,0,1.09,2.19,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0.77,0,0.77,0.77,0.77,0,0,6.13,0,0,7.66,0,0.77,0,0,0,0,0,0,0,0,2.3,0,0.77,0
120,0,1.96,0,0,1.96,0,0,1.96,19.6,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96
