stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,2859.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,220.67,2427.34,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,55.17,30.65,0,0,0,0,0,0,0,0,0
  7-9,31.54,65.72,0,86.75,0,0,176.12,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1803.3,52.57,0,0,867.48,18.4,13.14,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,97.56,0,22.03,132.17,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,1176.97,9.44,0,0,695.48,6.29,9.44,12.59,62.94,0,0,0,0,0,0
 14-21,0,1,1,1,29,6,20,0,3,2,1,0,0,0,0,0,0,0,16,0,0,19,331,2,2,1,10,14,1,62,1,22,82,0,2,0,0
 24-34,0,0,0,2.46,11.49,2.46,53.36,0.82,9.85,0.82,0.82,0,0.82,0,0,0.82,1.64,0,33.66,0,0,23.8,673.1,4.93,5.75,3.28,0,21.34,0,0.82,1.64,3.28,155.96,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,2.42,86.21,0,8.06,0.81,0,0,0.81,0,0,0.81,0,0.81,42.7,0,0.81,16.92,441.51,0,3.22,0,0,5.64,0,0.81,0,0,107.15,0,4.03,0,0
 48-58,0,0,0,0,4.59,0.57,135.42,0,4.59,0,0,1.15,0,0,0.57,0.57,0,0.57,50.49,0.57,2.3,8.03,208.29,0.57,1.15,1.15,0,3.44,0,0,0,0,35.58,0,2.3,0,0.57
 60-70,0,0,0,0,8.83,0,105.02,0,4.91,0.98,0,0,0,0,0,0,0,0,49.08,0,2.94,9.82,94.23,1.96,1.96,0,0,0.98,0,0,0.98,0,4.91,0,1.96,0,0
 72-82,0,0,0,0,7.85,0.98,41.23,0.98,15.71,1.96,0,0.98,1.96,0,0,0,0,0.98,40.25,0,3.93,6.87,84.42,0,7.85,2.94,0,1.96,0,0,0,0,2.94,0,1.96,0,0.98
 84-94,0,0,0,0,5.31,1.06,40.36,0,8.5,3.19,0,0,3.19,0,1.06,0,0,0,36.11,0,5.31,4.25,42.48,0,3.19,4.25,0,2.12,0,0,0,0,1.06,0,6.37,2.12,1.06
 96-106,0,0,0,0,7.65,2.19,24.04,1.09,12.02,4.37,0,2.19,6.56,0,0,0,0,0,27.32,1.09,1.09,1.09,55.74,0,6.56,4.37,0,2.19,0,0,1.09,0,1.09,0,3.28,0,0
108-118,0,0,0,0,6.13,1.53,22.98,0,13.79,1.53,0,0.77,3.06,0.77,1.53,0.77,0.77,0,17.62,0,0.77,4.6,68.17,0.77,1.53,1.53,0,1.53,0,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,0,5.88,13.72,25.48,1.96,13.72,1.96,0,0,7.84,0,0,0,3.92,0,11.76,0,5.88,3.92,43.12,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
