stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,13,0,0,1,0,0,1,0,0,1,11,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,34.48,0.82,0.82,0,0,0,0,0,0,0.82,0,32.01,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.58,0,0.81,0,0,0,0.81,0,0,0,0,49.95,0,1.61
 48-58,0,0,0,0,1.15,0,0,37.3,0,0.57,0,2.87,0,0,0,0,0,0,1.72,3.44,0,0,0,202.55,0,0,0,0,0,0.57,0,0,0,0,58.53,0,0
 60-70,0,0,0,0,0.98,0,0,60.85,0,0,0.98,0.98,0,0,0,0,0,0,2.94,4.91,0.98,0.98,0,279.73,0,0,0.98,0,0.98,0.98,0,0,0,0,43.19,0,1.96
 72-82,0,0,0,0.98,0.98,0.98,0,55.95,0.98,0.98,0,12.76,1.96,0,0,0,0,0,6.87,9.82,0.98,0,0.98,229.71,0,0,1.96,0,1.96,0.98,0,0,0,0,36.32,0,2.94
 84-94,0,0,1.06,1.06,3.19,0,1.06,39.3,0,1.06,0,9.56,2.12,0,0,0,0,0,42.48,8.5,3.19,0,0,118.95,0,0,4.25,0,1.06,0,0,0,0,0,9.56,0,1.06
 96-106,0,0,0,4.37,2.19,0,0,32.79,1.09,0,0,2.19,4.37,0,1.09,1.09,0,0,37.16,15.3,4.37,1.09,0,109.28,0,0,9.84,0,3.28,1.09,0,0,0,0,7.65,0,0
108-118,0,0,0,4.6,2.3,0.77,0,26.81,0.77,1.53,0,9.96,7.66,0.77,0,0,0.77,0,53.62,4.6,0,0.77,0,112.6,0.77,0,4.6,0,1.53,0,0,0.77,0,0,3.06,0.77,1.53
120,0,0,0,0,0,3.92,0,25.48,0,0,0,13.72,11.76,0,0,0,0,1.96,31.36,9.8,1.96,0,0,96.03,0,0,13.72,0,0,0,0,1.96,1.96,0,3.92,0,1.96
