stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,19,1,5,0,0,2,0,0
 24-34,0,0,0,2.46,0.82,5.75,0,0,0.82,4.93,0,0,0.82,0,0,0,0,101.79,0,9.85,49.25,0,0,0.82,0,0,0.82,57.46,0,6.57,0,0,9.03,0,0.82
 36-46,0,0,0,1.61,0.81,38.67,0,0.81,24.98,5.64,0,0,2.42,0,0.81,0,0,309.38,0.81,28.2,53.98,4.03,0,0.81,0,0,0,37.06,0,12.89,0,0,6.45,0,0
 48-58,0,0,0,1.15,0.57,79.76,0,0,41.89,10.33,0.57,0,1.72,0,0,0,0,403.38,1.15,15.49,38.44,5.74,0.57,8.03,0,0,0,25.25,0,5.74,0,0,1.72,0,0
 60-70,0,0,0,0,0,71.65,0.98,1.96,35.33,42.21,4.91,0,1.96,0,3.93,0.98,0.98,425.98,3.93,7.85,30.43,7.85,0,8.83,0,0,0,22.58,0,4.91,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,38.28,0,0,51.05,82.46,8.83,0,1.96,0.98,0.98,2.94,0,460.4,7.85,11.78,33.38,0,0,13.74,0,3.93,1.96,49.08,0,0.98,0.98,0,3.93,0.98,0
 84-94,0,0,1.06,3.19,0,48.85,1.06,1.06,22.3,58.41,33.99,0,0,0,5.31,2.12,0,269.76,10.62,5.31,22.3,7.43,0,19.12,0,0,1.06,109.39,0,3.19,0,1.06,0,2.12,0
 96-106,0,0,0,0,1.09,28.41,0,0,18.58,65.57,19.67,0,3.28,1.09,2.19,5.46,0,187.97,7.65,2.19,18.58,1.09,1.09,26.23,0,1.09,4.37,85.24,0,6.56,0,0,2.19,1.09,0
108-118,0,0,1.53,4.6,0,26.04,0.77,0.77,17.62,67.4,27.57,0,0,0,5.36,4.6,0.77,90.38,2.3,3.83,8.43,0.77,0,25.28,0,0,2.3,91.15,0,3.83,0,0.77,0.77,1.53,0.77
120,1.96,0,0,1.96,0,23.52,0,3.92,17.64,52.91,19.6,1.96,0,0,0,1.96,0,56.83,1.96,1.96,17.64,0,0,7.84,0,1.96,3.92,54.87,0,5.88,0,0,1.96,0,0
