stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,2.63,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0.82,0.82,0,0,0,0,0.82,19.7,0,0,0,2.46,0,1.64,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,20.14,0,0,0,0.81,0,5.64,0,0
 48-58,0,0,0,0,4.59,0,0,1.15,0,0,0,0.57,1.15,0.57,38.44,0,0,0,0,0,5.74,0,0
 60-70,0,0,2.94,0,11.78,0,0,0,0,0,0.98,0,0,0,32.39,0.98,0.98,0,0,0,2.94,0.98,0
 72-82,0,0,0.98,0,22.58,0,0,0,0.98,0,0,0,0,0,41.23,2.94,0,0,2.94,0.98,3.93,0.98,0
 84-94,0,1.06,2.12,0,6.37,0,0,1.06,0,0,0,0,1.06,0,10.62,0,0,0,3.19,0,2.12,1.06,0
 96-106,0,1.09,3.28,0,6.56,0,1.09,2.19,0,1.09,1.09,0,0,0,9.84,0,0,0,2.19,0,0,0,1.09
108-118,0,0,3.06,0,3.83,0.77,0,1.53,0,0,0,0,0.77,0,6.89,0,0,0,0,0.77,0,0,0
120,0,0,5.88,0,5.88,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,1.96,0,1.96,0,0
