stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,2,0,0,3,0,0,0,0,0,0,0,0,0,12,0,1,0,1,0,3,0,1,23,0,0,0
 24-34,3.28,0,2.46,0.82,0,0,0,0,0,0,0,0,0,36.12,0,1.64,0,0,0.82,0,1.64,0,9.85,0,0,0
 36-46,0,0.81,4.03,0,0,0,0.81,0,0,0,0,0,0.81,66.06,1.61,0,0,0,0.81,0,0,0,8.86,0,0,0
 48-58,0.57,0,5.74,1.15,0,0,0,0,0,0.57,0,1.15,0,96.97,1.15,0.57,0,0,1.15,0,0,0,5.74,0,0,0.57
 60-70,0,0,14.72,1.96,0,0,0,0,0,1.96,0,0,0,131.52,1.96,0.98,0,0,0,0,0,0,22.58,0,0,0
 72-82,1.96,4.91,37.3,1.96,0.98,1.96,0,0,0,4.91,0,1.96,0,147.25,0,0.98,1.96,0,0,0,0.98,0,5.89,1.96,0,0
 84-94,1.06,3.19,27.61,3.19,0,0,0,1.06,0,2.12,0,0,0,63.72,1.06,0,0,0,1.06,0,1.06,0,9.56,1.06,4.25,0
 96-106,0,0,21.86,3.28,0,0,0,0,1.09,1.09,0,1.09,0,61.2,0,0,0,0,3.28,0,0,0,1.09,1.09,3.28,0
108-118,1.53,0,17.62,1.53,0,0.77,0,0,0,2.3,0,0,0.77,62.04,0,0,0,0,1.53,0,0.77,0,0.77,0,0.77,0
120,0,0,9.8,0,0,0,0,0,0,0,1.96,1.96,0,60.75,0,0,0,0,1.96,0,0,0,0,0,0,1.96
