stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1379.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,81.49,0,86.75,0,2.63,0,381.16,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,2102.97,34.17,0,0,738.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.94,0,75.53,0,3.15,0,276.93,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,1655.31,31.47,0,0,607.37,0,0,6.29,78.67,0,6.29,6.29,0,0,0,0,0
 14-21,0,3,0,37,453,178,0,336,0,0,12,11,19,1,0,5,0,1,1,3,135,0,0,150,1820,26,4,21,109,0,9,480,23,4,674,534,0,0,2,0,2
 24-34,0,0,0,17.24,52.53,22.98,0,178.13,0,0.82,13.95,6.57,0,0,2.46,0,4.93,1.64,6.57,3.28,84.55,0.82,0,36.94,437.52,0.82,2.46,6.57,0.82,0,17.24,0,7.39,0.82,53.36,114.1,0,0,6.57,0,4.93
 36-46,0,0,0,0.81,6.45,0,0,46.73,0,0.81,5.64,3.22,0,0.81,0,0,0,0,3.22,0,16.92,0,0,7.25,63.65,0,0.81,2.42,0,0,6.45,0,2.42,0,0,24.17,0,0,2.42,0,0
 48-58,0.57,0,0,2.3,5.16,0,0,49.92,1.15,0.57,8.03,10.33,0,1.15,1.15,0,1.72,0,5.16,1.15,20.66,0,1.15,6.31,55.66,0,0,1.15,0,0,1.15,0,5.16,0,0,9.75,0,0,2.3,0,1.15
 60-70,0,0,0,0,14.72,0,1.96,106.99,0,0,16.69,21.59,0,0,0.98,0,2.94,1.96,11.78,0,26.5,0,1.96,7.85,81.47,0.98,2.94,0,0,0.98,1.96,0,13.74,0,0,5.89,0,0,6.87,0,0.98
 72-82,0,0,0,0,9.82,0.98,0,30.43,0,1.96,7.85,24.54,0,0,2.94,0.98,0,0,3.93,0,10.8,0,0,1.96,53.99,0,0,1.96,0,0,1.96,0,20.61,0,0,2.94,0.98,0.98,2.94,0,0
 84-94,0,0,0,0,11.68,3.19,15.93,25.49,1.06,1.06,12.74,60.54,0,0,1.06,2.12,0,1.06,13.81,0,20.18,0,1.06,8.5,40.36,1.06,0,1.06,0,0,3.19,0,47.79,0,0,1.06,1.06,0,5.31,1.06,0
 96-106,0,0,1.09,0,12.02,1.09,10.93,14.21,0,1.09,7.65,34.97,0,1.09,5.46,3.28,0,0,3.28,1.09,18.58,1.09,0,4.37,34.97,0,2.19,0,0,0,3.28,0,48.09,0,0,0,1.09,0,5.46,0,1.09
108-118,0,0,0,0,30.64,1.53,3.83,16.09,3.06,2.3,13.79,19.92,0,0,3.06,1.53,0.77,1.53,7.66,0,16.09,0,0.77,10.72,48.26,0,3.83,0,0,0,8.43,0,32.17,0,0,2.3,0.77,0,3.83,0,0.77
120,0,0,0,0,15.68,0,0,7.84,1.96,1.96,3.92,13.72,0,1.96,3.92,0,0,0,0,0,11.76,0,0,3.92,41.16,0,1.96,0,0,0,3.92,0,23.52,0,0,0,0,0,0,0,0
