stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,36,0,1,0,0,0,0,0,2,2,41,0,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0.82,0,0,0,0,0,0,0,1.64,0.82,0,0,0,362.82,0,8.21,0,0,0,0,0,0,0,146.11,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,857.23,0,12.89,0,0,0,0.81,0,0,0,215.92,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,37.87,0,0,9.18,0.57,0,0,0,0,0,0,0.57,7.46,0,0.57,0.57,1005.88,0.57,7.46,0,0,0,3.44,0,0,0,142.88,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,121.71,0,0.98,6.87,0.98,0,0.98,0,0.98,0,0,0,9.82,0.98,0,0.98,1820.72,0,6.87,0,0,0,2.94,0,0,0,153.12,0,0,0.98,0,0.98
 72-82,0,0,1.96,7.85,4.91,311.19,0.98,3.93,28.47,0.98,0,0.98,2.94,0,0,0,0,29.45,0,1.96,1.96,1987.87,0,11.78,0,0,0,1.96,0.98,0,0,137.43,1.96,0.98,1.96,1.96,2.94
 84-94,0,0,0,12.74,1.06,210.28,1.06,2.12,29.74,1.06,0,0,1.06,0,2.12,0,0,23.36,1.06,1.06,0,979.2,0,7.43,2.12,0,0,6.37,0,0,0,67.97,1.06,0,0,3.19,1.06
 96-106,0,0,0,10.93,3.28,194.53,0,2.19,22.95,1.09,0,0,2.19,1.09,0,3.28,1.09,27.32,1.09,2.19,2.19,817.45,0,10.93,1.09,0,0,3.28,0,0,0,30.6,0,1.09,1.09,0,0
108-118,0,0,0.77,7.66,0.77,147.06,0,0.77,19.92,0,0,0,3.06,0.77,0,0.77,0,11.49,0,0.77,0.77,1050.14,0,5.36,0.77,0,0.77,3.06,0,0,0,23.74,0.77,0.77,0,1.53,0
120,0,0,0,17.64,0,131.31,1.96,0,17.64,0,0,0,9.8,0,0,0,0,11.76,0,3.92,1.96,1042.61,0,5.88,0,0,3.92,1.96,0,0,0,29.4,0,0,5.88,0,3.92
