stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0,0,0,0,0,0,0.82,36.12,0,0,0,0,0
 36-46,0,0.81,0.81,0,0,1.61,0,0,2.42,0,0,0,0,0,0,3.22,0,0,0,219.95,0,0,0,0,0,0,0,0,0.81,0,0,59.62,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,18.36,0,1.15,6.31,0,0,0,0,0,0,6.31,0,0.57,1.15,320.18,0,0,0,0,0,1.15,0,0,0,0,0,49.92,0,0,0,0,0
 60-70,0,0,0,0,0,30.43,0,0,5.89,0,0,0,0,0,0,4.91,0,0,0,595.78,0,0,0,0,0,0,0,0,0,0,0,58.89,0,0,0.98,0,0
 72-82,0,0,5.89,3.93,0,99.15,0,0.98,16.69,1.96,1.96,0,0.98,0,0,19.63,0.98,0.98,1.96,756.86,0,0.98,0,0,0,1.96,0,0,0.98,0,0,61.84,0,0,1.96,0.98,0.98
 84-94,0,0,6.37,2.12,1.06,72.22,1.06,0,9.56,0,3.19,0,0,1.06,0,9.56,1.06,2.12,1.06,335.6,0,2.12,2.12,0,0,2.12,0,0,0,0,0,25.49,2.12,0,0,0,0
 96-106,0,1.09,4.37,1.09,0,66.66,1.09,3.28,8.74,0,1.09,1.09,2.19,1.09,3.28,14.21,1.09,0,2.19,312.55,0,1.09,0,0,0,5.46,0,0,2.19,0,0,18.58,0,2.19,1.09,1.09,0
108-118,0,0,0,0.77,0,48.26,0.77,0,6.13,0.77,0.77,0,0,0,0,6.89,0,0.77,0.77,360.77,0.77,0,0,0,0,4.6,0,0,0,0.77,0,6.89,0,0.77,0,0.77,0.77
120,0,0,3.92,1.96,0,52.91,3.92,0,11.76,0,1.96,1.96,0,0,1.96,7.84,0,1.96,0,486.03,0,1.96,0,0,1.96,1.96,0,0,0,0,0,17.64,0,0,1.96,0,0
