stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0.82,0.82,2.46,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0.81,0,0,0,2.42,0,0,0,0,6.45,0,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0.57,0,8.03,0,1.15,1.15,3.44,8.03,0.57,0,0,0,1.15,0.57,1.72,0
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,0.98,0,53.98,0,5.89,2.94,2.94,13.74,0,0,0,0,0.98,1.96,1.96,0
 72-82,0,1.96,0,10.8,0,0,0.98,1.96,1.96,0,0,0,169.83,0,10.8,6.87,3.93,22.58,0.98,0,0,0,1.96,3.93,2.94,1.96
 84-94,0,4.25,0,11.68,0,0,1.06,1.06,1.06,0,0,0,113.64,0,6.37,5.31,3.19,33.99,0,1.06,1.06,0,1.06,7.43,2.12,3.19
 96-106,0,1.09,1.09,8.74,1.09,0,3.28,2.19,2.19,1.09,2.19,0,124.58,1.09,9.84,2.19,8.74,26.23,2.19,1.09,0,1.09,0,4.37,1.09,1.09
108-118,0,1.53,0,3.06,0.77,0.77,0.77,0.77,1.53,0,0,0.77,103.41,0,9.96,2.3,7.66,22.21,0.77,3.06,0,0,0.77,2.3,0,5.36
120,0,3.92,0,1.96,0,0,0,0,1.96,0,0,0,78.39,0,9.8,3.92,3.92,17.64,0,0,0,0,1.96,3.92,0,3.92
