stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,2,0,0,1,12,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,6,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0.82,0,0,4.1,0,0.82,1.64,10.67,0,0.82,0,0,0.82,0,0,0.82,4.93,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,7.25,0,0,0.81,22.56,0,0,0,0,0.81,0,1.61,0,8.06,0,0,4.03
 48-58,0,0,0,0,0,22.38,0,0,0,0,1.15,0,6.89,0,0,1.15,0,0,9.18,0,0,0,21.23,0,0.57,0,0,0,0,0,0,4.02,0,0,4.02
 60-70,0,0,0,0,0,95.21,0,0,0,0,0,0,9.82,0,0,0.98,0,0,14.72,0,0.98,0,43.19,0,0,0,0,0,0,0.98,0,5.89,0,2.94,7.85
 72-82,0,0,0,1.96,0,139.4,0,0,2.94,0.98,0,0.98,9.82,0,0,0,0.98,0,8.83,0,0,0,30.43,0,0,0,0,0,0,0,0,0,0,4.91,13.74
 84-94,0,0,0,2.12,0,58.41,0,0,11.68,2.12,0,1.06,22.3,0,0,1.06,0,0,8.5,0,1.06,1.06,29.74,0,0,1.06,0,0,0,0,0,1.06,0,1.06,6.37
 96-106,0,0,0,2.19,0,51.36,0,1.09,1.09,0,0,1.09,24.04,1.09,1.09,0,0,0,6.56,1.09,0,0,18.58,0,1.09,1.09,0,0,0,0,0,0,0,0,9.84
108-118,0,0,0.77,2.3,0,29.11,0,0.77,1.53,1.53,0,0,20.68,0,0,0,0.77,0,8.43,0,0,0,21.45,0,0,0.77,0,0.77,0,0,0,0,0.77,1.53,9.96
120,0,0,0,1.96,0,5.88,0,0,1.96,0,0,0,17.64,0,0,1.96,0,0,1.96,1.96,1.96,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,5.88
