stage,endoderm,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,4.93,0.82,0,0,0.82,0,0,0,0,0,6.57,0,8.21,7.39,0.82,0,0.82,0,0,0,0.82,0,0.82,0,1.64
 36-46,0,0,4.83,0,0,0.81,0,0,0,0,0,0.81,7.25,0,1.61,4.03,0.81,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,4.02,0,0,0,0,0.57,0,0,0,0,14.92,0,2.87,1.15,0,0,0,0,0.57,0,0,0,1.72,0,0.57
 60-70,0,0,11.78,0.98,0,0,0.98,0.98,0,0,0,0,20.61,0.98,2.94,1.96,0,0,0,0,0,0,0.98,0,0.98,0,2.94
 72-82,0,0,6.87,0,0,0,0,1.96,3.93,0.98,0,0,17.67,0,0.98,1.96,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,11.68,0,0,0,0,0,2.12,0,0,0,14.87,0,1.06,1.06,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,9.84,2.19,0,0,0,2.19,1.09,0,0,0,10.93,0,3.28,0,0,1.09,3.28,0,2.19,0,0,0,3.28,1.09,1.09
108-118,0,0,3.06,1.53,0.77,0,1.53,0.77,3.06,0.77,0.77,0,10.72,0.77,0,3.06,0,0,0,0,0.77,0,0,0,0,0,1.53
120,0,0,3.92,0,0,0,1.96,0,1.96,3.92,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
