stage,axial,blastomeres,epidermis,eye,glial,immune,iridophores,mesenchyme,neural,periderm,spinal_cord,vasculature,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0,4.91,0,0.98,0,0
 84-94,0,0,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0
