stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,1,1,1,6,0,0,0
 24-34,0,0,0.82,8.21,0,2.46,0,0.82,0,0,0,0,0.82,4.1,0,0,0,18.88,0.82,0,0,0,0,13.13,0,0,0
 36-46,0,0,0,7.25,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,23.36,0,0,0,0,0,5.64,0,0.81,0
 48-58,0,0,0.57,11.48,0,0.57,0,0,0.57,0.57,0,0.57,0,4.02,0,0,0,17.21,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,11.78,0,4.91,0,0,0,0,0,0,0,2.94,0,0,0,16.69,0,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,19.63,0,2.94,0,0,0,0,0,0,0,3.93,0.98,0.98,0,33.38,0,0.98,0,0,0,2.94,0,2.94,0
 84-94,0,0,0,11.68,0,0,0,0,1.06,0,0,1.06,0,2.12,0,1.06,0,10.62,0,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,10.93,0,0,1.09,0,1.09,0,0,0,0,3.28,1.09,0,0,7.65,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0.77,1.53,4.6,0.77,1.53,0.77,0,0.77,0,0,0,0,0.77,0,0,0,11.49,0,0,0,0,0,0.77,0,1.53,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0
