stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,6.57,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,2.42,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.31,0,0.57,0,1.15,0,0,0,0,0,0,0,0.57,0,70.58,1.15,1.15,0.57,18.94,0,0,0,0,0,0,0,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,0,6.87,1.96,0,86.37,0.98,3.93,1.96,12.76,3.93,0,0,0,0.98,0,0,0.98,0.98,510.39,0,0.98,6.87,159.01,0.98,3.93,1.96,0,0.98,2.94,0,0,0,24.54,0,1.96,0.98,0.98,2.94
 72-82,0,0,0,0,28.47,36.32,0.98,292.54,1.96,1.96,8.83,82.46,6.87,0,2.94,6.87,1.96,4.91,5.89,6.87,3.93,1078.85,1.96,7.85,17.67,505.56,1.96,10.8,5.89,0,0.98,24.54,1.96,2.94,0,49.08,0.98,2.94,25.52,6.87,15.71
 84-94,0,0,1.06,1.06,37.17,20.18,0,145.5,3.19,4.25,5.31,27.61,2.12,0,3.19,3.19,4.25,3.19,2.12,5.31,4.25,856,2.12,5.31,10.62,177.36,4.25,3.19,2.12,0,1.06,45.67,3.19,3.19,0,19.12,2.12,5.31,15.93,6.37,3.19
 96-106,0,0,1.09,3.28,52.46,12.02,3.28,118.03,3.28,12.02,4.37,33.88,5.46,0,5.46,16.39,7.65,2.19,3.28,9.84,1.09,658.99,3.28,6.56,7.65,162.83,3.28,5.46,2.19,0,4.37,66.66,4.37,2.19,0,9.84,4.37,2.19,12.02,5.46,5.46
108-118,0,0,0.77,5.36,32.94,11.49,1.53,61.28,2.3,9.19,0.77,22.21,6.13,0,0.77,7.66,1.53,2.3,2.3,6.89,0.77,498.64,0.77,6.89,10.72,164.68,4.6,3.06,4.6,0,0,16.09,0,0,0,4.6,0.77,2.3,6.13,0,3.06
120,0,0,0,3.92,39.2,13.72,3.92,45.08,0,1.96,5.88,9.8,7.84,0,1.96,13.72,1.96,0,0,5.88,0,627.13,1.96,7.84,11.76,88.19,1.96,7.84,1.96,0,0,21.56,0,0,0,3.92,0,0,1.96,0,0
