stage,blastomeres,epidermis,eye,glial,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,6.29,0,0,0
 14-21,0,0,1,0,0,0,3,0,0,0,2,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,1.64,0
 36-46,0,0.81,0.81,0,0,0,4.03,0.81,0,0,0.81,0
 48-58,0,0,2.3,0.57,0.57,0,1.15,0,0,0,2.3,0
 60-70,0,0,0.98,2.94,0,0,0.98,0.98,0,0,0.98,0
 72-82,0,0,0.98,0.98,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0.77,1.53,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
