stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,25.52,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,0,1.96,0,0.98,0,8.83,0,0,0,2.94,0.98,0,0.98,2.94,0,0.98,4.91,0,3.93,0,0,0,111.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,4.25,0,0,0,5.31,0,0,0,0,0,0,1.06,0,4.25,0,0,0,200.73,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,14.21,5.46,1.09,19.67,0,18.58,0,16.39,0,1.09,1.09,27.32,3.28,1.09,7.65,15.3,1.09,0,50.27,0,9.84,1.09,0,0,1432.72,1.09,0,1.09,1.09,1.09,1.09,2.19,3.28,0
108-118,0,0,0,14.55,1.53,0.77,6.13,0.77,19.15,0.77,9.96,0.77,0,1.53,29.11,0.77,0,3.83,26.04,0,0,18.38,0,9.19,0.77,0,0.77,1194.9,0,0,1.53,0,0,0.77,0,3.83,0.77
120,0,0,0,21.56,0,0,3.92,0,21.56,0,17.64,0,0,0,21.56,0,0,7.84,19.6,0,1.96,23.52,0,17.64,1.96,0,0,819.19,0,0,0,0,0,0,0,0,0
