stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,1,0,0,0,0,0,0,0,11,0,0,0,1,1,3,10,0,0,1,0,1,1,1,1,3,1,0,0,1,0
 24-34,0,0,0,3.28,1.64,0,2.46,0,1.64,0.82,0,0,0,0,8.21,0,0,0.82,0.82,0,2.46,13.13,0,0.82,0,0,9.85,0,0,0,3.28,4.93,0,0,1.64,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,14.5,0,0,0,1.61,0,0,27.39,0,0,0,0,13.7,0,0,0.81,0,6.45,0,0,1.61,0.81
 48-58,0,0,0,0,0,0,6.31,0.57,0,0,1.15,0,0,0,19.51,0,0,0,2.3,0,0,40.17,0,0,0,0,1.72,0,0,0.57,0,10.9,0,0,1.72,1.15
 60-70,0,0,0.98,0.98,8.83,0,20.61,0.98,0,0,12.76,0,0,0,6.87,0.98,0,0,5.89,1.96,0,76.56,0.98,0,0,0,9.82,0,0,0.98,0,22.58,0,0,0,8.83
 72-82,0,0,0,0,61.84,0,47.12,0.98,0,0.98,50.06,0.98,0,1.96,27.49,3.93,0.98,0,3.93,6.87,0,111.91,0,0,3.93,0,13.74,0,0,0,0,34.36,0.98,0,0,9.82
 84-94,0,0,0,1.06,57.35,0,30.8,0,0,0,28.68,0,0,0,30.8,2.12,1.06,0,3.19,5.31,1.06,32.92,0,0,2.12,0,38.23,0,1.06,0,0,13.81,0,0,0,9.56
 96-106,0,0,0,0,60.11,0,26.23,1.09,1.09,1.09,31.69,0,0,1.09,37.16,4.37,0,2.19,3.28,2.19,0,27.32,0,0,2.19,0,12.02,0,2.19,1.09,0,5.46,1.09,1.09,1.09,10.93
108-118,0,0,0,1.53,41.36,0.77,27.57,0.77,0,2.3,30.64,0.77,0,0,30.64,5.36,0,0,10.72,9.96,2.3,58.21,0,0,3.83,0,11.49,0,0,0,0,6.89,0,0,1.53,14.55
120,0,0,0,1.96,60.75,0,48.99,3.92,0,3.92,58.79,3.92,0,0,25.48,5.88,0,3.92,1.96,13.72,1.96,121.51,1.96,1.96,7.84,0,19.6,0,3.92,0,0,3.92,0,0,1.96,7.84
