stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,7,0,0,3,20,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,9.85,0,0.82,0,2.46,0,0,0,0,0,0,0,0,51.71,0,0,6.57,22.16,0,0.82,0,0,0,0,0,0,0,2.46,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,8.06,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,39.48,0,0,3.22,5.64,0,0,0,0,0,0,0,0,0,4.83,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,19.51,0,0,5.16,1.15,0,0.57,0.57,0,0,0,0,0,78.61,0,0,4.59,16.64,0,0,0,0,0,0,0,0,0,8.03,0,0,2.3,0,0
 60-70,0,0,0,0.98,0,0,34.35,0,0,0.98,0,0,0,0,0,0,0,0.98,0,153.12,0,0.98,2.94,16.69,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0.98,0.98
 72-82,0,0,0,2.94,0,0,67.73,0.98,0,15.71,13.74,0.98,0,2.94,0.98,0.98,0.98,0,0.98,406.41,0,3.93,8.83,58.9,0.98,1.96,0.98,0,0,0,0,0,0,5.89,0,4.91,3.93,9.82,0
 84-94,0,0,0,6.37,0,0,103.02,0,0,6.37,4.25,1.06,1.06,0,1.06,0,0,0,0,336.67,1.06,2.12,6.37,26.55,0,0,1.06,0,1.06,2.12,0,0,0,8.5,0,3.19,6.37,5.31,0
 96-106,0,1.09,0,24.04,13.11,0,110.38,2.19,5.46,7.65,16.39,4.37,0,6.56,3.28,2.19,0,1.09,3.28,548.61,3.28,8.74,7.65,98.36,1.09,1.09,0,0,2.19,14.21,0,1.09,0,3.28,0,4.37,5.46,12.02,2.19
108-118,0,0.77,0,8.43,3.06,1.53,77.36,0,3.06,9.19,7.66,1.53,0,3.06,2.3,1.53,0,0.77,1.53,600.51,0,3.83,6.13,73.53,3.06,0.77,0.77,0,0.77,5.36,0,0.77,0,0.77,0.77,3.83,3.83,12.26,0
120,0,0,0,7.84,5.88,1.96,64.67,1.96,3.92,9.8,5.88,1.96,0,9.8,1.96,0,0,1.96,3.92,652.61,0,7.84,13.72,66.63,7.84,1.96,0,0,0,5.88,0,1.96,0,1.96,1.96,1.96,7.84,19.6,0
