stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,14,22,14,0,1,0,0,0,1,6,16,10,0,0,0,0
 24-34,0,1.64,5.75,0,0,9.03,4.1,4.1,8.21,1.64,0.82,0,0.82,3.28,0,0,0.82,120.67,0,0.82,77.16,126.41,13.95,0,10.67,0,1.64,0.82,0,13.13,4.93,12.31,0,0,0,6.57
 36-46,0,0,3.22,0.81,0,3.22,6.45,8.86,29.81,0.81,2.42,0.81,0.81,6.45,0,0.81,0.81,163.55,0,3.22,47.53,77.34,11.28,0,8.06,0,0,0.81,0.81,8.86,0,6.45,0,0.81,0,8.06
 48-58,0,0,1.72,0,0,13.77,6.31,21.23,48.2,0.57,2.3,0.57,0,6.31,0,0.57,2.3,217.47,0,2.87,18.36,62.54,8.61,0,11.48,0,0,0.57,0,1.15,0,8.61,0,0,1.15,18.94
 60-70,0,0,6.87,0,0,11.78,0,24.54,88.34,0,7.85,3.93,0,15.7,0.98,0,0.98,271.88,0,5.89,28.46,58.89,6.87,0,5.89,0,0,0.98,0,1.96,0,5.89,1.96,4.91,0.98,6.87
 72-82,0,0,6.87,0.98,0,47.12,2.94,32.39,142.34,10.8,5.89,3.93,0,16.69,0,0.98,0.98,513.41,0,18.65,48.1,90.31,3.93,0.98,26.5,0,1.96,0,0,1.96,0,0.98,7.85,21.6,6.87,11.78
 84-94,0,0,13.81,0,0,42.48,5.31,25.49,105.14,13.81,6.37,3.19,0,7.43,2.12,3.19,3.19,305.87,0,15.93,52.04,62.66,3.19,1.06,15.93,0,0,0,0,5.31,0,2.12,6.37,24.43,5.31,18.05
 96-106,0,0,29.51,2.19,0,37.16,1.09,29.51,139.88,15.3,13.11,6.56,1.09,21.86,0,8.74,7.65,321.3,0,19.67,68.85,69.94,1.09,3.28,21.86,0,4.37,2.19,0,6.56,0,0,6.56,34.97,7.65,14.21
108-118,0,0,20.68,1.53,0,26.04,2.3,23.74,97.28,14.55,8.43,2.3,0.77,19.15,0,3.06,11.49,307.92,0.77,19.92,78.13,53.62,2.3,0.77,25.28,0,4.6,1.53,0,3.06,0,0,3.83,26.04,7.66,22.21
120,0,0,25.48,1.96,1.96,50.95,3.92,15.68,64.67,5.88,7.84,3.92,0,7.84,0,3.92,0,237.13,0,13.72,70.55,48.99,3.92,0,15.68,0,5.88,0,0,0,0,0,1.96,35.28,7.84,11.76
