stage,blastomeres,endoderm,fin_epithelia,mesenchyme,neural,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,1,3,1,0
 24-34,0,0,0,0,13.95,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,0,0,0,0.98
 84-94,0,0,0,2.12,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,4.37,3.28,0,0,0,0,0
108-118,0,0.77,0,8.43,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0
